"","D21_node_50","D21_node_69","D21_node_75","D21_node_349","D21_node_940","D21_node_227","D21_node_1377","D21_node_1052","D21_node_439","D21_node_155","D21_node_352","D21_node_660","D21_node_350","D21_node_657","D21_node_11","D21_node_154","D21_node_351","D21_node_508","D21_node_1327"
"D21_node_1087",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1090",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"D21_node_1092",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1093",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"D21_node_1096",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1101",1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"D21_node_1157",1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"D21_node_1166",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1182",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1208",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1213",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D21_node_1220",1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
