"","WOL_node_1776","WOL_node_1897","WOL_node_6962","WOL_node_3566","WOL_node_15069","WOL_node_1777","WOL_node_11287","WOL_node_11444","WOL_node_7113","WOL_node_14970","WOL_node_6531","WOL_node_15707","WOL_node_8164","WOL_node_1183","WOL_node_11845","WOL_node_13575","WOL_node_13303","WOL_node_3313","WOL_node_4656","WOL_node_14853","WOL_node_15703","WOL_node_3342","WOL_node_5354","WOL_node_14720","WOL_node_13106","WOL_node_13180","WOL_node_13367","WOL_node_13423","WOL_node_15542","WOL_node_15541","WOL_node_8754","WOL_node_14093","WOL_node_14473","WOL_node_3348","WOL_node_7405","WOL_node_10721","WOL_node_6057","WOL_node_2053","WOL_node_5434","WOL_node_15161","WOL_node_13240","WOL_node_12853","WOL_node_10099","WOL_node_13020","WOL_node_4923","WOL_node_10284","WOL_node_4339","WOL_node_15334","WOL_node_1775","WOL_node_3570","WOL_node_12930","WOL_node_9174"
"WOL_node_6961",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12629",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"WOL_node_12730",1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_12775",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_2114",1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"WOL_node_3766",1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7710",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WOL_node_7711",1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"WOL_node_7712",0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"WOL_node_7713",1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"WOL_node_7714",1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"WOL_node_9657",1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
