"network_db";"original_id";"reference";"citation";"doi";"study_common"
"gateway";"HEW16";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW17";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW21";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW22";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW36";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"HEW47";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW01";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW02";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW03";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW04";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW05";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW06";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW07";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW08";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW09";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW18";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW35";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW36";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW37";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW41";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW43";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"SEW48";NA;"Digel et al. (2014)";NA;"Digel et al. (2014)"
"gateway";"Kongsfjorden";NA;"Ekloef et al. (2013)";NA;"Ekloef et al. (2013)"
"gateway";"Alford lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Balsam lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Beaver lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Big hope lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Brandy lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Bridge brook lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Brook trout lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Buck pond";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Burntbridge lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Cascade lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Chub lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Chub pond";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Connera lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Constable lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Deep lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Emerald lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Falls lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Fawn lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Federation lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Goose lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Grass lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Gull lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Gull lake north";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Helldiver pond";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"High pond";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Hoel lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Horseshoe Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Indian Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Little Rainbow Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Long Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Loon Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Lost Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Lost Lake East";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Lower Sister Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Oswego Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Owl Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Rat Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Razorback Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Rock Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Russian Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Safford Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Sand Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"South Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Squaw Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Stink Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Twelfth Tee Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Twin Lake East";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Twin Lake West";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Whipple Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Wolf Lake";NA;"Sutherland (1989), Havens (1992)";NA;"Sutherland_1989"
"gateway";"Weddell Sea";NA;"Jacob et al. (2011)";NA;"Jacob et al. (2011)"
"gateway";"Tuesday Lake 1984";NA;"Jonsson et al. (2005) ";NA;"Jonsson et al. (2005) "
"gateway";"Tuesday Lake 1986";NA;"Jonsson et al. (2005) ";NA;"Jonsson et al. (2005) "
"gateway";"Chilean Intertidal Curaumilla";NA;"Kefi et al. (2015)";NA;"Kefi et al. (2015)"
"gateway";"Chilean Intertidal El Quisco";NA;"Kefi et al. (2015)";NA;"Kefi et al. (2015)"
"gateway";"Chilean Intertidal Las Cruces";NA;"Kefi et al. (2015)";NA;"Kefi et al. (2015)"
"gateway";"Chilean Intertidal Los Molles";NA;"Kefi et al. (2015)";NA;"Kefi et al. (2015)"
"gateway";"Chesapeake Bay";NA;"Kroll, unpublished ";NA;"Kroll, unpublished "
"gateway";"Carpinteria";NA;"Lafferty et al. (2006)";NA;"Lafferty et al. (2006)"
"gateway";"Scottish Lake";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Afon Hafren 2005";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Allt a Mharcaidh";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Broadstone Stream";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Dargall Lane";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Duddon Pike Beck";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Hardknott Gill";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Mill Stream";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Mosendale Beck";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Old Lodge";NA;"Layer et al. (2010)";NA;"Layer et al. (2010)"
"gateway";"Alert";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Bylot";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Herschel";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Nenetsky";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Svalbard";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Yamal";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Zackenberg";NA;"Legagneux et al. (2014)";NA;"Legagneux et al. (2014)"
"gateway";"Gearagh";NA;"McLaughlin et al. (2010)";NA;"McLaughlin et al. (2010)"
"gateway";"Dutch Microfauna food web PlotA";NA;"Mulder & Elser (2009)";NA;"Mulder & Elser (2009)"
"gateway";"Dutch Microfauna food web PlotB";NA;"Mulder & Elser (2009)";NA;"Mulder & Elser (2009)"
"gateway";"Dutch Microfauna food web PlotC";NA;"Mulder & Elser (2009)";NA;"Mulder & Elser (2009)"
"gateway";"Bure Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA;"Gray et al. (2015), Thompson et al. (2017)"
"gateway";"Loddon Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA;"Gray et al. (2015), Thompson et al. (2017)"
"gateway";"Lyde Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA;"Gray et al. (2015), Thompson et al. (2017)"
"gateway";"Test Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA;"Gray et al. (2015), Thompson et al. (2017)"
"gateway";"Wensum Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA;"Gray et al. (2015), Thompson et al. (2017)"
"gateway";"Lake Malawi";NA;"Nsiku (1999)";NA;"Nsiku (1999)"
"gateway";"Iceland stream IS7 April 2009";NA;"O'Gorman et al. (2012)";NA;"O'Gorman et al. (2012)"
"gateway";"Iceland stream IS7 August 2008";NA;"O'Gorman et al. (2012)";NA;"O'Gorman et al. (2012)"
"gateway";"Iceland stream IS8  April 2009";NA;"O'Gorman et al. (2012)";NA;"O'Gorman et al. (2012)"
"gateway";"Iceland stream IS8 August 2008";NA;"O'Gorman et al. (2012)";NA;"O'Gorman et al. (2012)"
"gateway";"Caribbean Reef";NA;"Opitz (1996)";NA;"Opitz (1996)"
"gateway";"FloridaIslandE1";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)"
"gateway";"FloridaIslandE2";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)"
"gateway";"FloridaIslandE3";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)"
"gateway";"FloridaIslandE7";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)"
"gateway";"FloridaIslandE9";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)"
"gateway";"Lough Hyne";NA;"Jacob et al. (2015)";NA;"Jacob et al. (2015)"
"gateway";"Blackrock Stream";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Broad Stream";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Canton Creek";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Dempsters Stream";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"German Creek";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Healy Creek";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Kye Burn";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Little Kye Burn";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Stony Stream";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"Sutton Stream";NA;"Townsend et al. (1998)";NA;"Townsend_1998"
"gateway";"AP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"AP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"AP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"AP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"BP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"BP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"BP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CGP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CGP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CGP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR1P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR1P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR1P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR1P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR2P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR2P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR2P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"CR2P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F1P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F1P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F1P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F1P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F2P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F2P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F2P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"F2P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXAP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXAP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXAP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXAP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXBP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXBP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXBP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"FXBP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJAP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJAP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJAP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJAP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJBP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJBP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJBP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"GJBP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L1P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L1P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L1P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L1P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L2P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L2P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L2P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L2P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L3P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L3P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L3P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L3P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L4P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L4P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L4P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"L4P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"MBP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"MBP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"MBP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"MBP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC1P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC1P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC1P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC1P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC2P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC2P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC2P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC2P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PC2P5";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PGSBP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PGSBP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PGUBP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PGUBP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PGUBP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PGUBP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP1I1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP1I2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP1I3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP1I4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2I1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2I2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2I3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2I4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2M1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2M2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2M3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"PP2M4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RMP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RMP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RMP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RMP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RMP5";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV1P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV1P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV1P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV1P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV2P1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV2P2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV2P3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"RV2P4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1I1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1I2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1I3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1I4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1M1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1M2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1M3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF1M4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2I1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2I2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2I3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2I4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2M1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2M2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2M3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SF2M4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"SP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"WP1";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"WP2";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"WP3";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
"gateway";"WP4";NA;"Mendonca et al. (2018)";NA;"Mendonca et al. (2018)"
