study_orig;study_common
Belay14;Belay
Belay15;Belay
Belay2;Belay
Belay23;Belay
Belay25;Belay
Belay26;Belay
Belay27;Belay
Belay30;Belay
Benadi & Pauw 2018;Benadi & Pauw 2018
Benadi2013_1(950m);Benadi2013
Benadi2013_2(1170m);Benadi2013
Benadi2013_3(1340m);Benadi2013
Benadi2013_4(1700m);Benadi2013
Benadi2013_5(1800m);Benadi2013
Benadi2013_6(2020m);Benadi2013
Benarfa 2005 MSc;Benarfa 2005 MSc
Bennett et al 2018;Bennett et al 2018
Bergamini;bergamini2016
bergamini2016;bergamini2016
bernard c. patten1979;bernard c. patten1979
Bezerra et al 2009;Bezerra2009
bezerra2009;Bezerra2009
Bezerra2009;Bezerra2009
Biella et al 2019;Biella et al 2019
bird1930;bird1930
Blake 1992;Blake_1992
Blake_1992;Blake_1992
Bleher 2003;Bleher_2003
Bleher_2003;Bleher_2003
Blendinger 2015;Blendinger_2015
Blendinger 2016;Blendinger 2016
Blendinger_2015;Blendinger_2015
Blumel et al 2016;Blumel et al 2016
Bluthgen et al. 2004;Bluthgen2004
Bluthgen2004;Bluthgen2004
bluthgen2006;bluthgen2006
bodner2009;bodner2009
boit2012;boit2012
Bolanos-Silva 2000;Bolanos-Silva 2000
Bollen 2000;Bollen_2000
Bollen_2000;Bollen_2000
Bordignon 2017;Bordignon 2017
Borges_2009;Borges_2009
Bortoluzzi_2016;Bortoluzzi_2016
Boyle_2011;Boyle_2011
Brehm2003;Brehm2003
briand1985;briand1985
Brito 2010;Brito_2010
Brito_2010;Brito_2010
Brosi2017_Back_of_Baldy_Bend_2014_Control;Brosi2017
Brosi2017_Back_of_Baldy_Bend_2014_Manipulation;Brosi2017
Brosi2017_Belleview_Bench_2013_Control;Brosi2017
Brosi2017_Belleview_Bench_2013_Manipulation;Brosi2017
Brosi2017_Brush_Creek_Sign_2014_Control;Brosi2017
Brosi2017_Brush_Creek_Sign_2014_Manipulation;Brosi2017
Brosi2017_Brush_Creek_Steep_2013_Control;Brosi2017
Brosi2017_Brush_Creek_Steep_2013_Manipulation;Brosi2017
Brosi2017_Cold_Springs_Ranch_2014_Control;Brosi2017
Brosi2017_Cold_Springs_Ranch_2014_Manipulation;Brosi2017
Brosi2017_Gothic_CG_2014_Control;Brosi2017
Brosi2017_Gothic_CG_2014_Manipulation;Brosi2017
Brosi2017_Gothic_Road_2013_Control;Brosi2017
Brosi2017_Gothic_Road_2013_Manipulation;Brosi2017
Brosi2017_Gothic_Road_Grate_2014_Control;Brosi2017
Brosi2017_Gothic_Road_Grate_2014_Manipulation;Brosi2017
Brosi2017_Gothic_Road_Steep_2013_Control;Brosi2017
Brosi2017_Gothic_Road_Steep_2013_Manipulation;Brosi2017
Brosi2017_Gothic_Road_Steep_2014_Control;Brosi2017
Brosi2017_Gothic_Road_Steep_2014_Manipulation;Brosi2017
Brosi2017_Gothic_Town_2014_Control;Brosi2017
Brosi2017_Gothic_Town_2014_Manipulation;Brosi2017
Brosi2017_Judd_Falls_TH_2013_Control;Brosi2017
Brosi2017_Judd_Falls_TH_2013_Manipulation;Brosi2017
Brosi2017_Judd_Falls_TH_2014_Control;Brosi2017
Brosi2017_Judd_Falls_TH_2014_Manipulation;Brosi2017
Brosi2017_Past_Rustlers_2013_Control;Brosi2017
Brosi2017_Past_Rustlers_2013_Manipulation;Brosi2017
Brosi2017_Rustlers_2013_Control;Brosi2017
Brosi2017_Rustlers_2013_Manipulation;Brosi2017
Brown_2002;Brown_2002
brown1964;brown1964
Brown2019;Brown2019
Buitrón_2012;Buitrón_2012
Bundgaard 2003;Bundgaard 2003
Burkle2013;Burkle2013
Burns 2013;Burns_2013
Burns_2013;Burns_2013
Buzato et al. 2000;Buzato_2000
Buzato_2000;Buzato_2000
Buzatto_2014;Buzatto_2014
c. a. simenstad1978;c. a. simenstad1978
c. bulman2001;c. bulman2001
Caballero_2017;Caballero_2017
Camargo 2009;Camargo_2009
Camargo_2009;Camargo_2009
Canela 2006;Canela_2006
Canela_2006;Canela_2006
CaraDonna_rmbl_interaction_networks_data_EDI;CaraDonna_rmbl_interaction_networks_data_EDI
Carlo et al 2003;Carlo_2003
Carlo_2003;Carlo_2003
Carlo2003-1;Carlo_2003
Carlo2003-2;Carlo_2003
Carlo2003-3;Carlo_2003
Carlo2003-4;Carlo_2003
carlson1968;carlson1968
Carman et al 2016;Carman et al 2016
Carneiro_2012;Carneiro_2012
Carstensen et al 2014;Carstensen et al 2014
Carstensen2017_Brazil_Cedro;Carstensen2017
Carstensen2017_Brazil_Elefante;Carstensen2017
Carstensen2017_Brazil_Gigante;Carstensen2017
Carstensen2017_Brazil_Midway;Carstensen2017
Carstensen2017_Brazil_Paulino;Carstensen2017
Carstensen2017_Brazil_Soizig;Carstensen2017
Carstensen2017_Brazil_Tinkerbell;Carstensen2017
Carstensen2017_ElHierro;Carstensen2017
Carstensen2017_Fuerteventura;Carstensen2017
Carstensen2017_Gomera;Carstensen2017
Carstensen2017_GranCanaria;Carstensen2017
Carstensen2017_TenerifeSyd;Carstensen2017
Carstensen2017_Teno;Carstensen2017
Carstensen2017_WesternSahara;Carstensen2017
Carvalheiro2008;Carvalheiro2008
Carvalho 2008;Carvalho_2008
Carvalho et al 2014;Carvalho et al 2014
Carvalho_2008;Carvalho_2008
Casallas-Pabon 2017;Casallas-Pabon_2017
Casallas-Pabon_2017;Casallas-Pabon_2017
Casas_2018;Casas_2018
Castano 2009;Castano_2009
Castano 2018;Castano_2018
Castano_2009;Castano_2009
Castano_2018;Castano_2018
Castley 2001;Castley_2001
Castley_2001;Castley_2001
Castro 2015;Castro_2015
Castro_2007;Castro_2007
Castro_2015;Castro_2015
Castro-Luna 2012;Castro-Luna_2012
Castro-Luna_2012;Castro-Luna_2012
Cattin Blandenier (2004);Cattin Blandenier (2004)
Cavalleri_2014;Cavalleri_2014
Chama 2013;Chama 2013
Chama_2013_net1;Chama 2013
Chama_2013_net2;Chama 2013
Chama_2013_net3;Chama 2013
Chama_2013_net4;Chama 2013
Chama_2013_net5;Chama 2013
Chama_2013_net6;Chama 2013
Chama_2013_net7;Chama 2013
Chama_2013_net8;Chama 2013
Chama_2013_net9;Chama 2013
Chamberlain et al. 2014;Chamberlain et al. 2014
Chapman 1987;Chapman 1987
Chapman 1996;Chapman_1996
Chapman_1996;Chapman_1996
charles h. peterson1979;charles h. peterson1979
Chatterjee 2014;Chatterjee_2014
Chatterjee_2014;Chatterjee_2014
Chaves 2018;Chaves 2018
Chaves_2018_forest_edge;Chaves 2018
Chaves_2018_mature_forest;Chaves 2018
Chen 1999;Chen_1999
Chen_1999;Chen_1999
Chimera 2010;Chimera_2010
Chimera_2010;Chimera_2010
Chinniah1978;Chinniah1978
Chiquetto_2018;Chiquetto_2018
Christian & Luczkovich 1999;Christian & Luczkovich 1999
clement1923;Clements1923
Clements & Long 1923;Clements1923
Clements1923;Clements1923
Cohen et al. (2009);Cohen et al. (2009)
cohen2003;cohen2003
Colaco_2006;Colaco_2006
coley2006;Coley2006
Coley2006;Coley2006
collins1976;collins1976
Combined_Schleuning;Combined_Schleuning
continuous_Farwig;continuous_Farwig
Cordeiro_2017;Cordeiro_2017
Cordeiro_2020;Cordeiro_2020
Cordiniz Picanco thesis;Cordiniz Picanco thesis
cornaby1974;cornaby1974
Correa 2016;Correa 2016
Correa_2016_Apaporis;Correa 2016
Correa_2016_Caqueta;Correa 2016
Correia_1997;Correia_1997
Correia_2016_non-sanctuary;Correia_2016
Correia_2016_sanctuary;Correia_2016
Costa 2013 endozoochory;Costa_2013_endozoochory
Costa 2016;Costa_2016
Costa 2018 before only;Costa_2018
COSTA_0171;COSTA_0171
Costa_2013_endozoochory;Costa_2013_endozoochory
Costa_2016;Costa_2016
Cotton;Cotton_1998
Cotton_1998;Cotton_1998
Crome 1975;Crome1975
Crome_1978;Crome_1978
Crome1975;Crome1975
Cruz 2013;Cruz_2013
Cruz_2013;Cruz_2013
Cruz_2013_Autumn;Cruz_2013
Cruz_2013_Summer;Cruz_2013
Cruz_2013_Winter;Cruz_2013
Cruz_2015;Cruz_2015
cruz-escalona2007;cruz-escalona2007
cuevas-reyes;cuevas-reyes
cummins1966;cummins1966
da Costa Vieira et  al 2007;da Costa Vieira et  al 2007
da Silva 2015;da Silva 2015
da_2017;da_2017
da_Silva_2015_site_A;da Silva 2015
da_Silva_2015_site_B;da Silva 2015
da_Silva_2015_site_C;da Silva 2015
daGraca;daGraca
Dalsgaard et al. 2021;Dalsgaard et al. 2021
Dalsgaard_2018;Dalsgaard_2018
Daru 2015;Daru_2015
Daru_2015;Daru_2015
Dattilo et al 2016;Dattilo et al 2016
David 2011;David_2011
David_2011;David_2011
David_2011_tree_focal_watches;David_2011
Davidson & Fisher 1991;Davidson & Fisher 1991
Davidson et al 1989;Davidson et al 1989
de la Pena 2003;de la Pena 2003
de Oliveira 1999;de Oliveira 1999
de_2017;de_2017
de_la_Pena_2003;de_la_Pena_2003
de_Oliveira_1999;de_Oliveira_1999
Debussche 1989;Debussche_1989
Debussche_1989;Debussche_1989
deCastroCantuaria 2010 Msc;deCastroCantuaria 2010 Msc
Dechtiar1972;Dechtiar1972
Dehling 2017;Dehling 2017
Dehling_2014;Dehling_2014
Dehling_2017_San_Pedro_1;Dehling 2017
Dehling_2017_San_Pedro_2;Dehling 2017
Dehling_2017_San_Pedro_3;Dehling 2017
Dehling_2017_San_Pedro_4;Dehling 2017
Dehling_2017_Wayqecha_1;Dehling 2017
Dehling_2017_Wayqecha_2;Dehling 2017
Dehling_2017_Wayqecha_3;Dehling 2017
Dehling_2017_Wayqecha_4;Dehling 2017
Devoto et al 2005;Devoto et al 2005
Dew 1998;Dew 1998
Dicks et al 2002;Dicks et al 2002
Dicks2002-1;Dicks et al 2002
Dicks2002-2;Dicks et al 2002
Digel et al. (2014);Digel et al. (2014)
Donatti 2011;Donatti_2011
Donatti_2011;Donatti_2011
Dorneles_2013;Dorneles_2013
Dos Reis 1983;Dos Reis 1983
Dos_Reis_1983_Cult_et_form_sec;Dos Reis 1983
Dowsett-Lemaire 1988;Dowsett-Lemaire_1988
Dowsett-Lemaire_1988;Dowsett-Lemaire_1988
Dubost 1984;Dubost_1984
Dubost_1984;Dubost_1984
Dupont & Olesen 2009;Dupont & Olesen 2009
Dupont 1997;Dupont_1997
Dupont_1997;Dupont_1997
Dupont et al 2003;Dupont2003
dupont2003;Dupont2003
Dupont2003;Dupont2003
Dupont2009-1;Dupont & Olesen 2009
Dupont2009-2;Dupont & Olesen 2009
dyer&gentry2002;dyer&gentry2002
e. a. shushkina1979;e. a. shushkina1979
e. gontikaki2011;e. gontikaki2011
eberling1999;eberling1999
edwards1982;edwards1982
Ekloef et al. (2013);Ekloef et al. (2013)
Elberling & Olesen 1999;eberling1999
Elberling & Olesen unpublished;elberlingNA
elberling1999;eberling1999
Elberling1999;eberling1999
elberlingNA;elberlingNA
Elder 2013;Elder 2013
Emer et al. 2013;Emer et al. 2013
Engel 2000;Engel_2000
Engel_2000;Engel_2000
Erard 2007;Erard 2007
Escalona et all 2007;Escalona et all 2007
Estrada-Villegas 2010;Estrada-Villegas_2010
Estrada-Villegas_2010;Estrada-Villegas_2010
f. b. van es1977;f. b. van es1977
Fadini 2004;Fadini_2004
Fadini_2004;Fadini_2004
Falcon 2018;Falcon_2018
Falcon_2018;Falcon_2018
Fang2012;Fang2012
Farache_2013;Farache_2013
Farache_2017;Farache_2017
Faria 1996;Faria_1996
Faria_1996;Faria_1996
Farwig_2017;Farwig_2017
Faustino 2006;Faustino_2006
Faustino_2006;Faustino_2006
fautin1993;fautin1993
Fernandez et al 2001;Fernandez et al 2001
feroz khan2009;feroz khan2009
Ferreira_2010;Ferreira_2010
Ferreira_2013;Ferreira_2013
Ferrero et al. 2013;Ferrero et al. 2013
fetahi2011;fetahi2011
filgueira2011;filgueira2011
FILHO_2005;FILHO_2005
Fleming 1977;Fleming_1977
Fleming_1977;Fleming_1977
Fonseca & Ganade 1996;Fonseca1996
Fonseca 2007;Fonseca_2007
Fonseca_2007;Fonseca_2007
Fonseca_2015;Fonseca_2015
Fonseca1996;Fonseca1996
Font;Font
Fontanari 2018;Fontanari_2018
Fontanari_2018;Fontanari_2018
Foresta 1984;Foresta 1984
Forup et al 2008;Forup et al 2008
fragmented_Farwig;fragmented_Farwig
Fragoso PhD Thesis 2014;Fragoso PhD Thesis 2014
Franceschinelli_2015;Franceschinelli_2015
Freitas & Sazima 2006;Freitas & Sazima 2006
Freitas_1993;Freitas_1993
French_1990;French_1990
Fricke 2018;Fricke_2018
Fricke_2018;Fricke_2018
Fricke_2018_Saipan;Fricke_2018
Frost 1980;Frost1980
Frost_1980;Frost1980
frost1980;Frost1980
Frost1980;Frost1980
fryer1959;fryer1959
Fuentes 1994;Fuentes_1994
Fuentes_1994;Fuentes_1994
g. a. knox1970;g. a. knox1970
g. e. macginitie1935;g. e. macginitie1935
g. p. closs1994;g. p. closs1994
gaedke1994;gaedke1994
Galetti & Pizo 1996;Galetti_1996
Galetti & Pizo 1996;Galetti_1996
Galetti_1996;Galetti_1996
Galetti1996-1;Galetti_1996
Galetti1996-2;Galetti_1996
Ganzhorn 1988;Ganzhorn 1988
Garcia 2014;García_2014
Garcia 2016;Garcia_2016
Garcia et al. 2000;Garcia et al. 2000
García_2014;García_2014
Garcia_2014_Blue_Duck;García_2014
Garcia_2014_Charles_Plimmer;García_2014
Garcia_2014_George_Denton;García_2014
Garcia_2014_Mount_Fyfee_Reserve;García_2014
Garcia_2014_Puhi-Puhi_River;García_2014
Garcia_2014_Zealandia;García_2014
Garcia_2016;Garcia_2016
García_2018;García_2018
Garcia_et_al;Garcia_et_al
Garcia-Estrada 2012;Garcia-Estrada_2012
Garcia-Estrada_2012;Garcia-Estrada_2012
Garcia-Morales 2012;Garcia-Morales_2012
Garcia-Morales_2012;Garcia-Morales_2012
garcia&robledo2013;garcia&robledo2013
Gautier-Hion 1985;Gautier-Hion 1985
Gelvez_2016;Gelvez_2016
Gelvez_2018;Gelvez_2018
Genrich 2017;Genrich_2017
Genrich_2017;Genrich_2017
george m. woodwell1967;george m. woodwell1967
Gess & Gess 1991;Gess & Gess 1991
Gess2010;Gess2010
Giannakos 1997;Giannakos 1997
Gibson et al 2006;Gibson et al 2006
Gikungu 2006 thesis;Gikungu 2006 thesis
Gilarranz_2015_Amarante;Gilarranz_2015
Gilarranz_2015_Barrosa;Gilarranz_2015
Gilarranz_2015_CincoCerros;Gilarranz_2015
Gilarranz_2015_Difunito;Gilarranz_2015
Gilarranz_2015_Difuntos;Gilarranz_2015
Gilarranz_2015_ElMorro;Gilarranz_2015
Gilarranz_2015_LaBrava;Gilarranz_2015
Gilarranz_2015_LaChata;Gilarranz_2015
Gilarranz_2015_LaPaja;Gilarranz_2015
Gilarranz_2015_PiedraAlta;Gilarranz_2015
Gilarranz_2015_Vigilancia;Gilarranz_2015
Gilarranz_2015_Volcan;Gilarranz_2015
Gilarranz2014_amarante;Gilarranz2014
Gilarranz2014_barrosa;Gilarranz2014
Gilarranz2014_cincocerros;Gilarranz2014
Gilarranz2014_difuntito;Gilarranz2014
Gilarranz2014_difuntos;Gilarranz2014
Gilarranz2014_elmorro;Gilarranz2014
Gilarranz2014_labrava;Gilarranz2014
Gilarranz2014_lachata;Gilarranz2014
Gilarranz2014_lapaja;Gilarranz2014
Gilarranz2014_piedraalta;Gilarranz2014
Gilarranz2014_vigilancia;Gilarranz2014
Gilarranz2014_volcan;Gilarranz2014
Githiru 2002;Githiru_2002
Githiru_2002;Githiru_2002
glynn1965;glynn1965
Gomes 2013;Gomes_2013
Gomes_2006;Gomes_2006
Gomes_2013;Gomes_2013
Gondim_2002;Gondim_2002
Gonzalez & Loiselle 2016;Gonzalez_2016
González_2012;Gonzalez-Castro 2012
Gonzalez_2016;Gonzalez_2016
Gopal_2020;Gopal_2020
Gorchov 1995;Gorchov_1995
Gorchov_1995;Gorchov_1995
Gotlieb et al 2011;Gotlieb et al 2011
Gottsberger_2013;Gottsberger_2013
Goulart_2006;Goulart_2006
Graham and Weinstein 2018;Graham_2018
Graham_2018;Graham_2018
Grass et al 2013;Grass et al 2013
Gray et al. (2015), Thompson et al. (2017);Gray et al. (2015), Thompson et al. (2017)
Guerra_2012;Guerra_2012
Guillotin 1994;Guillotin 1994
Guitián 1983;Guitián 1983
Gutierres_2001;Gutierres_2001
Gutierrez_and_Rojas_2001;Gutierres_2001
h. milne1972;h. milne1972
Hackett et al 2019;Hackett et al 2019
Hackett2019_HH;Hackett et al 2019
Hackett2019_TP;Hackett et al 2019
Hadfield et all 2013;hadfield2014
Hadfield_2013_001;hadfield2014
Hadfield_2013_002;hadfield2014
Hadfield_2013_003;hadfield2014
Hadfield_2013_004;hadfield2014
Hadfield_2013_005;hadfield2014
Hadfield_2013_006;hadfield2014
Hadfield_2013_007;hadfield2014
Hadfield_2013_008;hadfield2014
Hadfield_2013_009;hadfield2014
Hadfield_2013_010;hadfield2014
Hadfield_2013_012;hadfield2014
Hadfield_2013_013;hadfield2014
Hadfield_2013_014;hadfield2014
Hadfield_2013_016;hadfield2014
Hadfield_2013_017;hadfield2014
Hadfield_2013_018;hadfield2014
Hadfield_2013_019;hadfield2014
Hadfield_2013_020;hadfield2014
Hadfield_2013_021;hadfield2014
Hadfield_2013_022;hadfield2014
Hadfield_2013_023;hadfield2014
Hadfield_2013_024;hadfield2014
Hadfield_2013_025;hadfield2014
Hadfield_2013_026;hadfield2014
Hadfield_2013_027;hadfield2014
Hadfield_2013_029;hadfield2014
Hadfield_2013_030;hadfield2014
Hadfield_2013_031;hadfield2014
Hadfield_2013_032;hadfield2014
Hadfield_2013_033;hadfield2014
Hadfield_2013_034;hadfield2014
Hadfield_2013_035;hadfield2014
Hadfield_2013_036;hadfield2014
Hadfield_2013_037;hadfield2014
Hadfield_2013_038;hadfield2014
Hadfield_2013_039;hadfield2014
Hadfield_2013_040;hadfield2014
Hadfield_2013_041;hadfield2014
Hadfield_2013_042;hadfield2014
Hadfield_2013_043;hadfield2014
Hadfield_2013_044;hadfield2014
Hadfield_2013_045;hadfield2014
Hadfield_2013_046;hadfield2014
Hadfield_2013_047;hadfield2014
Hadfield_2013_048;hadfield2014
Hadfield_2013_049;hadfield2014
Hadfield_2013_050;hadfield2014
Hadfield_2013_051;hadfield2014
hadfield2014;hadfield2014
Hagen & Kraemer 2010;Hagen & Kraemer 2010
Hamann1999;Hamann1999
Hammann & Curio 1999;Hamann1999
hampton2011;hampton2011
hartley1948;hartley1948
Hassina2015;Hassina2015
Hasui 1998;Hasui_1998
Hasui_1994;Hasui_1994
Hasui_1998;Hasui_1998
hawkins1984;hawkins1984
Hayashi 1996;Hayashi_1996
Hayashi_1996;Hayashi_1996
Heithaus 1975;Heithaus 1975
Heleno;Heleno
Heleno et al 2013;Heleno_2013
Heleno_2013;Heleno_2013
heleno2009;heleno2009
hemidi2013;hemidi2013
henneman&memmott1;henneman&memmott1
henneman&memmott2;henneman&memmott2
HennemanXXXX-1;HennemanXXXX-1
HennemanXXXX-2;HennemanXXXX-2
Hernandez-Montero 2015;Hernandez-Montero 2015
Hernandez-Montero_2015_B4_Dry;Hernandez-Montero 2015
Hernandez-Montero_2015_B4_Norte;Hernandez-Montero 2015
Herrera 1988;Herrera1988
Herrera_1984;Herrera_1984
herrera1988;Herrera1988
Herrera1988;Herrera1988
hewatt1937;hewatt1937
High_mountain_matrix_Norfolk;High_mountain_matrix_Norfolk
hildrew1985;hildrew1985
hines2019;hines2019
Hingston 1999;Hingston 1999
Hipolito_2012;Hipolito_2012
Hipolito_2013;Hipolito_2013
Hipolito_2014;Hipolito_2014
Hipolito_2018;Hipolito_2018
Hladik 1969;Hladik_1969
Hladik 1972;Hladik 1972
Hladik_1969;Hladik_1969
Hocking 1968;Hocking1968
hocking1968;Hocking1968
Hocking1968;Hocking1968
Hodgkison 2001;Hodgkison_2001
Hodgkison_2001;Hodgkison_2001
hopkins1993;hopkins1993
Houle 2010;Houle 2010
Hovestadt 1997;Hovestadt_1997
Hovestadt_1997;Hovestadt_1997
Howe 1984;Howe 1984
hsing-juh lin2006;hsing-juh lin2006
huang2008;huang2008
hurlbert1972;hurlbert1972
Ibanez2013;Ibanez2013
Idechil2007;Idechil2007
ignasi bartomeus2008;bartomeus2008
Ikuta 2013;Ikuta_2013
Ikuta_2013;Ikuta_2013
Ingversen 2006;Ingversen2006
Ingversen2006;Ingversen2006
Innis 1989;Innis 1989
Innis_1989_ANVF;Innis 1989
Innis_1989_NVF_CNVF;Innis 1989
Inoue et al 1990;Inoue1990
Inoue1990;Inoue1990
Inouye & Pyke 1988;Inouye1988
inouye1988;Inouye1988
J. E. Randall 1967;J. E. Randall 1967
j. h. day1967;j. h. day1967
Jacob et al. (2011);Jacob et al. (2011)
Jacob et al. (2015);Jacob et al. (2015)
james g. douglass2011;james g. douglass2011
james n. kremer1978;james n. kremer1978
janzen1980;Janzen1980
Janzen1980;Janzen1980
janzen2003;Janzen2003
Janzen2003;Janzen2003
Jaroszewicz 2013;Jaroszewicz_2013
Jaroszewicz_2013;Jaroszewicz_2013
Jayasekara 2003;Jayasekara_2003
Jayasekara 2007;Jayasekara_2007
Jayasekara_2003;Jayasekara_2003
Jayasekara_2007;Jayasekara_2007
Jedrzejewska-Szmek & Zych 2013;Jedrzejewska-Szmek & Zych 2013
jiron1981;jiron1981
Joern 1979;Joern 1979
joern_altuda;Joern 1979
joern_marathon;Joern 1979
Joern-Altuda;Joern 1979
Joern-Marathon;Joern 1979
Joern1985;Joern1985
Jolls et al 2019;Jolls et al 2019
jones1949;jones1949
jones1950;jones1950
Jonsson et al. (2005) ;Jonsson et al. (2005) 
Jordano 1985;Jordano_1985
Jordano_1985;Jordano_1985
Jordano-1;Jordano-1
jorge cornejo-donoso2008;jorge cornejo-donoso2008
Junior 2010;Junior_2010
Junior_2010;Junior_2010
Junker2013;Junker2013
k. hogetsu1979;k. hogetsu1979
KAEHLER_2005;kaehler2005
kaehler2005;kaehler2005
Kaiser_control;Kaiser-Bunbury et al 2010
Kaiser_restored;Kaiser-Bunbury et al 2010
Kaiser-Bunbury et al 2010;Kaiser-Bunbury et al 2010
Kaiser-Bunbury et al 2014;Kaiser-Bunbury et al 2014
Kaiser-Bunbury_2010_060_01;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_02;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_03;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_04;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_05;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_06;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_07;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_08;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_09;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_10;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_11;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_12;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_13;Kaiser-Bunbury et al 2010
Kaiser-Bunbury_2010_060_14;Kaiser-Bunbury et al 2010
