"";"network_db";"network_id";"reference";"citation";"doi"
"65";"gateway";"Brook trout lake";NA;"Sutherland (1989), Havens (1992)";NA
"66";"gateway";"Buck pond";NA;"Sutherland (1989), Havens (1992)";NA
"67";"gateway";"Burntbridge lake";NA;"Sutherland (1989), Havens (1992)";NA
"68";"gateway";"Cascade lake";NA;"Sutherland (1989), Havens (1992)";NA
"69";"gateway";"Chub lake";NA;"Sutherland (1989), Havens (1992)";NA
"70";"gateway";"Chub pond";NA;"Sutherland (1989), Havens (1992)";NA
"71";"gateway";"Connera lake";NA;"Sutherland (1989), Havens (1992)";NA
"72";"gateway";"Constable lake";NA;"Sutherland (1989), Havens (1992)";NA
"73";"gateway";"Deep lake";NA;"Sutherland (1989), Havens (1992)";NA
"74";"gateway";"Emerald lake";NA;"Sutherland (1989), Havens (1992)";NA
"75";"gateway";"Falls lake";NA;"Sutherland (1989), Havens (1992)";NA
"76";"gateway";"Fawn lake";NA;"Sutherland (1989), Havens (1992)";NA
"77";"gateway";"Federation lake";NA;"Sutherland (1989), Havens (1992)";NA
"78";"gateway";"Goose lake";NA;"Sutherland (1989), Havens (1992)";NA
"79";"gateway";"Grass lake";NA;"Sutherland (1989), Havens (1992)";NA
"80";"gateway";"Gull lake";NA;"Sutherland (1989), Havens (1992)";NA
"81";"gateway";"Gull lake north";NA;"Sutherland (1989), Havens (1992)";NA
"82";"gateway";"Helldiver pond";NA;"Sutherland (1989), Havens (1992)";NA
"83";"gateway";"High pond";NA;"Sutherland (1989), Havens (1992)";NA
"84";"gateway";"Hoel lake";NA;"Sutherland (1989), Havens (1992)";NA
"85";"gateway";"Horseshoe Lake";NA;"Sutherland (1989), Havens (1992)";NA
"86";"gateway";"Indian Lake";NA;"Sutherland (1989), Havens (1992)";NA
"87";"gateway";"Little Rainbow Lake";NA;"Sutherland (1989), Havens (1992)";NA
"88";"gateway";"Long Lake";NA;"Sutherland (1989), Havens (1992)";NA
"89";"gateway";"Loon Lake";NA;"Sutherland (1989), Havens (1992)";NA
"90";"gateway";"Lost Lake";NA;"Sutherland (1989), Havens (1992)";NA
"91";"gateway";"Lost Lake East";NA;"Sutherland (1989), Havens (1992)";NA
"92";"gateway";"Lower Sister Lake";NA;"Sutherland (1989), Havens (1992)";NA
"93";"gateway";"Oswego Lake";NA;"Sutherland (1989), Havens (1992)";NA
"94";"gateway";"Owl Lake";NA;"Sutherland (1989), Havens (1992)";NA
"95";"gateway";"Rat Lake";NA;"Sutherland (1989), Havens (1992)";NA
"96";"gateway";"Razorback Lake";NA;"Sutherland (1989), Havens (1992)";NA
"97";"gateway";"Rock Lake";NA;"Sutherland (1989), Havens (1992)";NA
"98";"gateway";"Russian Lake";NA;"Sutherland (1989), Havens (1992)";NA
"99";"gateway";"Safford Lake";NA;"Sutherland (1989), Havens (1992)";NA
"100";"gateway";"Sand Lake";NA;"Sutherland (1989), Havens (1992)";NA
"101";"gateway";"South Lake";NA;"Sutherland (1989), Havens (1992)";NA
"102";"gateway";"Squaw Lake";NA;"Sutherland (1989), Havens (1992)";NA
"103";"gateway";"Stink Lake";NA;"Sutherland (1989), Havens (1992)";NA
"104";"gateway";"Twelfth Tee Lake";NA;"Sutherland (1989), Havens (1992)";NA
"105";"gateway";"Twin Lake East";NA;"Sutherland (1989), Havens (1992)";NA
"106";"gateway";"Twin Lake West";NA;"Sutherland (1989), Havens (1992)";NA
"107";"gateway";"Whipple Lake";NA;"Sutherland (1989), Havens (1992)";NA
"108";"gateway";"Wolf Lake";NA;"Sutherland (1989), Havens (1992)";NA
"109";"gateway";"Weddell Sea";NA;"Jacob et al. (2011)";NA
"110";"gateway";"Tuesday Lake 1984";NA;"Jonsson et al. (2005) ";NA
"111";"gateway";"Tuesday Lake 1986";NA;"Jonsson et al. (2005) ";NA
"112";"gateway";"Chilean Intertidal Curaumilla";NA;"Kefi et al. (2015)";NA
"113";"gateway";"Chilean Intertidal El Quisco";NA;"Kefi et al. (2015)";NA
"114";"gateway";"Chilean Intertidal Las Cruces";NA;"Kefi et al. (2015)";NA
"115";"gateway";"Chilean Intertidal Los Molles";NA;"Kefi et al. (2015)";NA
"116";"gateway";"Chesapeake Bay";NA;"Kroll, unpublished ";NA
"117";"gateway";"Carpinteria";NA;"Lafferty et al. (2006)";NA
"118";"gateway";"Scottish Lake";NA;"Layer et al. (2010)";NA
"119";"gateway";"Afon Hafren 2005";NA;"Layer et al. (2010)";NA
"120";"gateway";"Allt a Mharcaidh";NA;"Layer et al. (2010)";NA
"121";"gateway";"Broadstone Stream";NA;"Layer et al. (2010)";NA
"122";"gateway";"Dargall Lane";NA;"Layer et al. (2010)";NA
"123";"gateway";"Duddon Pike Beck";NA;"Layer et al. (2010)";NA
"124";"gateway";"Hardknott Gill";NA;"Layer et al. (2010)";NA
"125";"gateway";"Mill Stream";NA;"Layer et al. (2010)";NA
"126";"gateway";"Mosendale Beck";NA;"Layer et al. (2010)";NA
"127";"gateway";"Old Lodge";NA;"Layer et al. (2010)";NA
"128";"gateway";"Alert";NA;"Legagneux et al. (2014)";NA
"129";"gateway";"Bylot";NA;"Legagneux et al. (2014)";NA
"130";"gateway";"Herschel";NA;"Legagneux et al. (2014)";NA
"131";"gateway";"Nenetsky";NA;"Legagneux et al. (2014)";NA
"132";"gateway";"Svalbard";NA;"Legagneux et al. (2014)";NA
"133";"gateway";"Yamal";NA;"Legagneux et al. (2014)";NA
"134";"gateway";"Zackenberg";NA;"Legagneux et al. (2014)";NA
"135";"gateway";"Gearagh";NA;"McLaughlin et al. (2010)";NA
"136";"gateway";"Dutch Microfauna food web PlotA";NA;"Mulder & Elser (2009)";NA
"137";"gateway";"Dutch Microfauna food web PlotB";NA;"Mulder & Elser (2009)";NA
"138";"gateway";"Dutch Microfauna food web PlotC";NA;"Mulder & Elser (2009)";NA
"139";"gateway";"Bure Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA
"140";"gateway";"Loddon Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA
"141";"gateway";"Lyde Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA
"142";"gateway";"Test Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA
"143";"gateway";"Wensum Stream";NA;"Gray et al. (2015), Thompson et al. (2017)";NA
"144";"gateway";"Lake Malawi";NA;"Nsiku (1999)";NA
"145";"gateway";"Iceland stream IS7 April 2009";NA;"O'Gorman et al. (2012)";NA
"146";"gateway";"Iceland stream IS7 August 2008";NA;"O'Gorman et al. (2012)";NA
"147";"gateway";"Iceland stream IS8  April 2009";NA;"O'Gorman et al. (2012)";NA
"148";"gateway";"Iceland stream IS8 August 2008";NA;"O'Gorman et al. (2012)";NA
"149";"gateway";"Caribbean Reef";NA;"Opitz (1996)";NA
"150";"gateway";"FloridaIslandE1";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA
"151";"gateway";"FloridaIslandE2";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA
"152";"gateway";"FloridaIslandE3";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA
"153";"gateway";"FloridaIslandE7";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA
"154";"gateway";"FloridaIslandE9";NA;"Piechnik et al. (2008), Simberloff and Wilson (1969)";NA
"155";"gateway";"Lough Hyne";NA;"Jacob et al. (2015)";NA
"156";"gateway";"Blackrock Stream";NA;"Townsend et al. (1998)";NA
"157";"gateway";"Broad Stream";NA;"Townsend et al. (1998)";NA
"158";"gateway";"Canton Creek";NA;"Townsend et al. (1998)";NA
"159";"gateway";"Dempsters Stream";NA;"Townsend et al. (1998)";NA
"160";"gateway";"German Creek";NA;"Townsend et al. (1998)";NA
"161";"gateway";"Healy Creek";NA;"Townsend et al. (1998)";NA
"162";"gateway";"Kye Burn";NA;"Townsend et al. (1998)";NA
"163";"gateway";"Little Kye Burn";NA;"Townsend et al. (1998)";NA
"164";"gateway";"Stony Stream";NA;"Townsend et al. (1998)";NA
"165";"gateway";"Sutton Stream";NA;"Townsend et al. (1998)";NA
"166";"gateway";"AP1";NA;"Mendonca et al. (2018)";NA
"167";"gateway";"AP2";NA;"Mendonca et al. (2018)";NA
"168";"gateway";"AP3";NA;"Mendonca et al. (2018)";NA
"169";"gateway";"AP4";NA;"Mendonca et al. (2018)";NA
"170";"gateway";"BP1";NA;"Mendonca et al. (2018)";NA
"171";"gateway";"BP2";NA;"Mendonca et al. (2018)";NA
"172";"gateway";"BP3";NA;"Mendonca et al. (2018)";NA
"173";"gateway";"CGP1";NA;"Mendonca et al. (2018)";NA
"174";"gateway";"CGP2";NA;"Mendonca et al. (2018)";NA
"175";"gateway";"CGP3";NA;"Mendonca et al. (2018)";NA
"176";"gateway";"CR1P1";NA;"Mendonca et al. (2018)";NA
"177";"gateway";"CR1P2";NA;"Mendonca et al. (2018)";NA
"178";"gateway";"CR1P3";NA;"Mendonca et al. (2018)";NA
"179";"gateway";"CR1P4";NA;"Mendonca et al. (2018)";NA
"180";"gateway";"CR2P1";NA;"Mendonca et al. (2018)";NA
"181";"gateway";"CR2P2";NA;"Mendonca et al. (2018)";NA
"182";"gateway";"CR2P3";NA;"Mendonca et al. (2018)";NA
"183";"gateway";"CR2P4";NA;"Mendonca et al. (2018)";NA
"184";"gateway";"F1P1";NA;"Mendonca et al. (2018)";NA
"185";"gateway";"F1P2";NA;"Mendonca et al. (2018)";NA
"186";"gateway";"F1P3";NA;"Mendonca et al. (2018)";NA
"187";"gateway";"F1P4";NA;"Mendonca et al. (2018)";NA
"188";"gateway";"F2P1";NA;"Mendonca et al. (2018)";NA
"189";"gateway";"F2P2";NA;"Mendonca et al. (2018)";NA
"190";"gateway";"F2P3";NA;"Mendonca et al. (2018)";NA
"191";"gateway";"F2P4";NA;"Mendonca et al. (2018)";NA
"192";"gateway";"FP1";NA;"Mendonca et al. (2018)";NA
"193";"gateway";"FXAP1";NA;"Mendonca et al. (2018)";NA
"194";"gateway";"FXAP2";NA;"Mendonca et al. (2018)";NA
"195";"gateway";"FXAP3";NA;"Mendonca et al. (2018)";NA
"196";"gateway";"FXAP4";NA;"Mendonca et al. (2018)";NA
"197";"gateway";"FXBP1";NA;"Mendonca et al. (2018)";NA
"198";"gateway";"FXBP2";NA;"Mendonca et al. (2018)";NA
"199";"gateway";"FXBP3";NA;"Mendonca et al. (2018)";NA
"200";"gateway";"FXBP4";NA;"Mendonca et al. (2018)";NA
"201";"gateway";"GJAP1";NA;"Mendonca et al. (2018)";NA
"202";"gateway";"GJAP2";NA;"Mendonca et al. (2018)";NA
"203";"gateway";"GJAP3";NA;"Mendonca et al. (2018)";NA
"204";"gateway";"GJAP4";NA;"Mendonca et al. (2018)";NA
"205";"gateway";"GJBP1";NA;"Mendonca et al. (2018)";NA
"206";"gateway";"GJBP2";NA;"Mendonca et al. (2018)";NA
"207";"gateway";"GJBP3";NA;"Mendonca et al. (2018)";NA
"208";"gateway";"GJBP4";NA;"Mendonca et al. (2018)";NA
"209";"gateway";"L1P1";NA;"Mendonca et al. (2018)";NA
"210";"gateway";"L1P2";NA;"Mendonca et al. (2018)";NA
"211";"gateway";"L1P3";NA;"Mendonca et al. (2018)";NA
"212";"gateway";"L1P4";NA;"Mendonca et al. (2018)";NA
"213";"gateway";"L2P1";NA;"Mendonca et al. (2018)";NA
"214";"gateway";"L2P2";NA;"Mendonca et al. (2018)";NA
"215";"gateway";"L2P3";NA;"Mendonca et al. (2018)";NA
"216";"gateway";"L2P4";NA;"Mendonca et al. (2018)";NA
"217";"gateway";"L3P1";NA;"Mendonca et al. (2018)";NA
"218";"gateway";"L3P2";NA;"Mendonca et al. (2018)";NA
"219";"gateway";"L3P3";NA;"Mendonca et al. (2018)";NA
"220";"gateway";"L3P4";NA;"Mendonca et al. (2018)";NA
"221";"gateway";"L4P1";NA;"Mendonca et al. (2018)";NA
"222";"gateway";"L4P2";NA;"Mendonca et al. (2018)";NA
"223";"gateway";"L4P3";NA;"Mendonca et al. (2018)";NA
"224";"gateway";"L4P4";NA;"Mendonca et al. (2018)";NA
"225";"gateway";"MBP1";NA;"Mendonca et al. (2018)";NA
"226";"gateway";"MBP2";NA;"Mendonca et al. (2018)";NA
"227";"gateway";"MBP3";NA;"Mendonca et al. (2018)";NA
"228";"gateway";"MBP4";NA;"Mendonca et al. (2018)";NA
"229";"gateway";"PC1P1";NA;"Mendonca et al. (2018)";NA
"230";"gateway";"PC1P2";NA;"Mendonca et al. (2018)";NA
"231";"gateway";"PC1P3";NA;"Mendonca et al. (2018)";NA
"232";"gateway";"PC1P4";NA;"Mendonca et al. (2018)";NA
"233";"gateway";"PC2P1";NA;"Mendonca et al. (2018)";NA
"234";"gateway";"PC2P2";NA;"Mendonca et al. (2018)";NA
"235";"gateway";"PC2P3";NA;"Mendonca et al. (2018)";NA
"236";"gateway";"PC2P4";NA;"Mendonca et al. (2018)";NA
"237";"gateway";"PC2P5";NA;"Mendonca et al. (2018)";NA
"238";"gateway";"PGSBP1";NA;"Mendonca et al. (2018)";NA
"239";"gateway";"PGSBP2";NA;"Mendonca et al. (2018)";NA
"240";"gateway";"PGUBP1";NA;"Mendonca et al. (2018)";NA
"241";"gateway";"PGUBP2";NA;"Mendonca et al. (2018)";NA
"242";"gateway";"PGUBP3";NA;"Mendonca et al. (2018)";NA
"243";"gateway";"PGUBP4";NA;"Mendonca et al. (2018)";NA
"244";"gateway";"PP1I1";NA;"Mendonca et al. (2018)";NA
"245";"gateway";"PP1I2";NA;"Mendonca et al. (2018)";NA
"246";"gateway";"PP1I3";NA;"Mendonca et al. (2018)";NA
"247";"gateway";"PP1I4";NA;"Mendonca et al. (2018)";NA
"248";"gateway";"PP2I1";NA;"Mendonca et al. (2018)";NA
"249";"gateway";"PP2I2";NA;"Mendonca et al. (2018)";NA
"250";"gateway";"PP2I3";NA;"Mendonca et al. (2018)";NA
"251";"gateway";"PP2I4";NA;"Mendonca et al. (2018)";NA
"252";"gateway";"PP2M1";NA;"Mendonca et al. (2018)";NA
"253";"gateway";"PP2M2";NA;"Mendonca et al. (2018)";NA
"254";"gateway";"PP2M3";NA;"Mendonca et al. (2018)";NA
"255";"gateway";"PP2M4";NA;"Mendonca et al. (2018)";NA
"256";"gateway";"RMP1";NA;"Mendonca et al. (2018)";NA
"257";"gateway";"RMP2";NA;"Mendonca et al. (2018)";NA
"258";"gateway";"RMP3";NA;"Mendonca et al. (2018)";NA
"259";"gateway";"RMP4";NA;"Mendonca et al. (2018)";NA
"260";"gateway";"RMP5";NA;"Mendonca et al. (2018)";NA
"261";"gateway";"RV1P1";NA;"Mendonca et al. (2018)";NA
"262";"gateway";"RV1P2";NA;"Mendonca et al. (2018)";NA
"263";"gateway";"RV1P3";NA;"Mendonca et al. (2018)";NA
"264";"gateway";"RV1P4";NA;"Mendonca et al. (2018)";NA
"265";"gateway";"RV2P1";NA;"Mendonca et al. (2018)";NA
"266";"gateway";"RV2P2";NA;"Mendonca et al. (2018)";NA
"267";"gateway";"RV2P3";NA;"Mendonca et al. (2018)";NA
"268";"gateway";"RV2P4";NA;"Mendonca et al. (2018)";NA
"269";"gateway";"SF1I1";NA;"Mendonca et al. (2018)";NA
"270";"gateway";"SF1I2";NA;"Mendonca et al. (2018)";NA
"271";"gateway";"SF1I3";NA;"Mendonca et al. (2018)";NA
"272";"gateway";"SF1I4";NA;"Mendonca et al. (2018)";NA
"273";"gateway";"SF1M1";NA;"Mendonca et al. (2018)";NA
"274";"gateway";"SF1M2";NA;"Mendonca et al. (2018)";NA
"275";"gateway";"SF1M3";NA;"Mendonca et al. (2018)";NA
"276";"gateway";"SF1M4";NA;"Mendonca et al. (2018)";NA
"277";"gateway";"SF2I1";NA;"Mendonca et al. (2018)";NA
"278";"gateway";"SF2I2";NA;"Mendonca et al. (2018)";NA
"279";"gateway";"SF2I3";NA;"Mendonca et al. (2018)";NA
"280";"gateway";"SF2I4";NA;"Mendonca et al. (2018)";NA
"281";"gateway";"SF2M1";NA;"Mendonca et al. (2018)";NA
"282";"gateway";"SF2M2";NA;"Mendonca et al. (2018)";NA
"283";"gateway";"SF2M3";NA;"Mendonca et al. (2018)";NA
"284";"gateway";"SF2M4";NA;"Mendonca et al. (2018)";NA
"285";"gateway";"SP1";NA;"Mendonca et al. (2018)";NA
"286";"gateway";"WP1";NA;"Mendonca et al. (2018)";NA
"287";"gateway";"WP2";NA;"Mendonca et al. (2018)";NA
"288";"gateway";"WP3";NA;"Mendonca et al. (2018)";NA
"289";"gateway";"WP4";NA;"Mendonca et al. (2018)";NA
"290";"gateway";"Skipwith Pond";NA;"Warren (1989)";NA
"291";"mangal";"mangal_12";NA;"hocking1968";"10.2307/3565022"
"292";"mangal";"mangal_908";NA;"lundgren2005";"10.1657/1523-0430(2005)037[0514:TDAHCW]2.0.CO;2"
"293";"mangal";"mangal_909";NA;"elberling1999";"10.2307/3683041"
"294";"mangal";"mangal_947";NA;"richard f. johnston1956";NA
"295";"mangal";"mangal_1262";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"296";"mangal";"mangal_1261";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"297";"mangal";"mangal_1219";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"298";"mangal";"mangal_1237";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"299";"mangal";"mangal_1218";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"300";"mangal";"mangal_1235";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"301";"mangal";"mangal_1236";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"302";"mangal";"mangal_1221";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"303";"mangal";"mangal_1251";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"304";"mangal";"mangal_1252";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"305";"mangal";"mangal_1253";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"306";"mangal";"mangal_1250";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"307";"mangal";"mangal_1217";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"308";"mangal";"mangal_1256";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"309";"mangal";"mangal_1257";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"310";"mangal";"mangal_1220";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"311";"mangal";"mangal_1233";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"312";"mangal";"mangal_1234";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"313";"mangal";"mangal_1259";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"314";"mangal";"mangal_1248";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"315";"mangal";"mangal_1260";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"316";"mangal";"mangal_1225";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"317";"mangal";"mangal_1264";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"318";"mangal";"mangal_1265";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"319";"mangal";"mangal_1254";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"320";"mangal";"mangal_1255";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"321";"mangal";"mangal_1242";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"322";"mangal";"mangal_1243";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"323";"mangal";"mangal_1231";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"324";"mangal";"mangal_1232";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"325";"mangal";"mangal_1246";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"326";"mangal";"mangal_1247";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"327";"mangal";"mangal_1227";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"328";"mangal";"mangal_1249";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"329";"mangal";"mangal_1263";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"330";"mangal";"mangal_1238";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"331";"mangal";"mangal_1239";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"332";"mangal";"mangal_1230";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"333";"mangal";"mangal_1245";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"334";"mangal";"mangal_1222";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"335";"mangal";"mangal_1229";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"336";"mangal";"mangal_1244";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"337";"mangal";"mangal_1224";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"338";"mangal";"mangal_1228";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"339";"mangal";"mangal_1258";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"340";"mangal";"mangal_1226";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"341";"mangal";"mangal_1240";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"342";"mangal";"mangal_1223";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"343";"mangal";"mangal_1216";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"344";"mangal";"mangal_1241";NA;"karl havens1992";"10.1126/science.257.5073.1107"
"345";"mangal";"mangal_80";NA;"w. m. kemp1977";NA
"346";"mangal";"mangal_81";NA;"m. bradstreet1982";"10.14430/arctic2303"
"347";"mangal";"mangal_82";NA;"bernard c. patten1979";"10.1016/b978-0-12-318750-5.50014-3"
"348";"mangal";"mangal_83";NA;"t. a. clarke1967";"10.1126/science.157.3795.1381"
"349";"mangal";"mangal_84";NA;"f. b. van es1977";"10.1007/BF02207842"
"350";"mangal";"mangal_85";NA;"g. e. macginitie1935";"10.2307/2420105"
"351";"mangal";"mangal_86";NA;"manuel j. zetina-rejon2003";"10.1016/s0272-7714(02)00410-9"
"352";"mangal";"mangal_87";NA;"v.h. cruz-escalona2007";"10.1016/j.ecss.2006.10.013"
"353";"mangal";"mangal_88";NA;"thomas m. lancraft1991";"10.1007/bf00240204"
"354";"mangal";"mangal_89";NA;"hsing-juh lin2006";"10.1016/j.marenvres.2006.03.003"
"355";"mangal";"mangal_930";NA;"walker o smith2006";"10.1098/rstb.2006.1956"
"356";"mangal";"mangal_91";NA;"maria angeles torres2013";"10.1016/j.ecolmodel.2013.05.019"
"357";"mangal";"mangal_92";NA;"peter yodzis1998";"10.1046/j.1365-2656.1998.00224.x"
"358";"mangal";"mangal_93";NA;"james n. kremer1978";"10.1007/978-3-642-66717-6"
"359";"mangal";"mangal_94";NA;"rosenthal, r. j.1974";NA
"360";"mangal";"mangal_95";NA;"charles h. peterson1979";"10.1007/bf00345993"
"361";"mangal";"mangal_96";NA;"e. gontikaki2011";"10.1016/j.pocean.2010.12.014"
"362";"mangal";"mangal_97";NA;"robert r. christian1999";"10.1016/s0304-3800(99)00022-8"
