"";"P22_node_9322";"P22_node_5354";"P22_node_11096";"P22_node_11097";"P22_node_10354";"P22_node_11098";"P22_node_10746";"P22_node_11099";"P22_node_11100";"P22_node_11101";"P22_node_11102";"P22_node_7123";"P22_node_11103";"P22_node_11104";"P22_node_9475";"P22_node_10772";"P22_node_10969";"P22_node_11105"
"P22_node_2374";0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
"P22_node_2375";0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0
"P22_node_2376";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"P22_node_2377";0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1
"P22_node_2378";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1222";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_970";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2379";1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
"P22_node_2380";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"P22_node_469";0;1;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0
"P22_node_2381";0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
"P22_node_2382";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"P22_node_2383";0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
"P22_node_2384";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_2385";0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"P22_node_2386";0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1;0
"P22_node_2387";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_1654";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
"P22_node_2388";0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0
"P22_node_1925";0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_2389";0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
"P22_node_2390";0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_2391";0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;1
"P22_node_2392";0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0
"P22_node_653";0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0
"P22_node_2393";0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0
"P22_node_2394";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0
"P22_node_2395";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
"P22_node_2396";0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0
"P22_node_2397";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"P22_node_2398";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
