"";"WOL_node_3409";"WOL_node_7457";"WOL_node_1088";"WOL_node_3056";"WOL_node_12729";"WOL_node_2773";"WOL_node_3751";"WOL_node_7104";"WOL_node_10651";"WOL_node_12702";"WOL_node_9058";"WOL_node_7566"
"WOL_node_6112";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_6206";0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_6210";1;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_6237";0;0;0;1;0;0;0;0;0;0;1;0
"WOL_node_6556";0;1;0;1;1;0;0;0;0;0;1;0
"WOL_node_7383";0;0;0;1;0;0;0;1;0;1;0;0
"WOL_node_7477";0;0;1;0;0;0;0;1;0;0;0;0
"WOL_node_7686";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_8545";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8584";0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_8907";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8929";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_8982";0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_8996";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_8997";0;0;0;0;0;0;1;0;0;0;0;1
"WOL_node_9251";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_9288";0;0;1;1;0;0;0;0;0;0;0;0
"WOL_node_9395";1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_9550";0;0;0;0;1;0;0;0;0;0;0;1
"WOL_node_9565";0;0;0;0;0;1;1;0;0;0;0;0
"WOL_node_9792";0;0;0;0;0;0;0;0;1;1;0;0
"WOL_node_9803";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_10013";0;1;0;0;0;0;0;1;0;0;0;0
"WOL_node_10655";1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_11084";0;0;0;0;0;0;0;1;0;1;0;0
"WOL_node_11712";0;0;1;1;1;0;0;1;0;0;0;1
"WOL_node_11715";0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_12152";0;0;0;1;0;0;0;0;0;1;0;0
"WOL_node_12153";0;0;0;0;0;0;0;0;0;1;0;0
"WOL_node_12358";1;0;0;0;1;0;0;0;1;0;0;0
"WOL_node_12359";0;0;0;0;1;0;0;0;0;0;1;0
"WOL_node_12360";0;0;1;0;1;0;0;1;0;0;0;0
"WOL_node_12449";0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_12633";0;0;0;0;0;1;0;1;0;0;0;0
"WOL_node_12771";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_12823";0;0;0;0;1;0;0;0;0;1;0;0
"WOL_node_15364";0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_15617";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_15623";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_15694";0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_583";0;0;0;1;0;0;0;0;0;0;0;1
"WOL_node_909";0;0;1;0;0;0;0;0;0;0;0;1
"WOL_node_2134";0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_3476";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_3773";0;0;0;0;0;1;0;0;0;0;0;0
"WOL_node_3940";0;0;0;0;0;0;1;0;0;0;0;0
"WOL_node_4546";0;1;0;0;0;0;0;0;0;0;0;1
"WOL_node_5017";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_7722";0;1;0;0;0;0;0;0;1;0;0;0
"WOL_node_9346";0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_10471";0;0;0;0;0;0;0;0;1;1;0;0
"WOL_node_10868";0;0;0;0;1;0;0;0;1;1;0;0
"WOL_node_11723";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_11743";0;0;0;0;0;1;0;0;1;0;0;0
"WOL_node_15628";1;0;0;0;0;0;0;0;0;0;0;0
