"";"TI_HERB_5581";"TI_HERB_5582";"TI_HERB_5583";"TI_HERB_5584";"TI_HERB_5585";"TI_HERB_5586";"TI_HERB_5587";"TI_HERB_5588";"TI_HERB_5589";"TI_HERB_5590";"TI_HERB_5591";"TI_HERB_2074";"TI_HERB_5592";"TI_HERB_5593";"TI_HERB_5594";"TI_HERB_3671";"TI_HERB_5561";"TI_HERB_5595";"TI_HERB_5596";"TI_HERB_5597";"TI_HERB_5598";"TI_HERB_5599";"TI_HERB_5600";"TI_HERB_5601";"TI_HERB_5602";"TI_HERB_5603";"TI_HERB_3984";"TI_HERB_5604";"TI_HERB_3983";"TI_HERB_5605";"TI_HERB_2071";"TI_HERB_5606";"TI_HERB_5565";"TI_HERB_5607";"TI_HERB_5608";"TI_HERB_5538";"TI_HERB_5609";"TI_HERB_5610";"TI_HERB_5611";"TI_HERB_5612";"TI_HERB_5613";"TI_HERB_5614";"TI_HERB_5615";"TI_HERB_5616";"TI_HERB_5617";"TI_HERB_5618";"TI_HERB_5619";"TI_HERB_5620";"TI_HERB_5621";"TI_HERB_5622";"TI_HERB_3450";"TI_HERB_5623";"TI_HERB_5624";"TI_HERB_5625";"TI_HERB_3820";"TI_HERB_5626";"TI_HERB_5627";"TI_HERB_5628";"TI_HERB_5629";"TI_HERB_5630";"TI_HERB_5631";"TI_HERB_5632";"TI_HERB_5457";"TI_HERB_5633";"TI_HERB_2016";"TI_HERB_5634";"TI_HERB_5635";"TI_HERB_5636";"TI_HERB_5637";"TI_HERB_5638";"TI_HERB_5639";"TI_HERB_5640";"TI_HERB_5641";"TI_HERB_5642";"TI_HERB_5643";"TI_HERB_5644";"TI_HERB_5645";"TI_HERB_5646";"TI_HERB_5647";"TI_HERB_5648";"TI_HERB_5649";"TI_HERB_5650";"TI_HERB_5651";"TI_HERB_5652";"TI_HERB_5653";"TI_HERB_5654";"TI_HERB_5655";"TI_HERB_3558";"TI_HERB_5656";"TI_HERB_5657";"TI_HERB_5658";"TI_HERB_1925";"TI_HERB_5659";"TI_HERB_5660";"TI_HERB_5661";"TI_HERB_5444";"TI_HERB_5662";"TI_HERB_5663";"TI_HERB_5664";"TI_HERB_5665";"TI_HERB_5666";"TI_HERB_5667";"TI_HERB_5668";"TI_HERB_5669";"TI_HERB_5670";"TI_HERB_5437";"TI_HERB_5671";"TI_HERB_5672";"TI_HERB_5673";"TI_HERB_5674";"TI_HERB_5675";"TI_HERB_3668";"TI_HERB_5676";"TI_HERB_5677";"TI_HERB_5678";"TI_HERB_2050";"TI_HERB_3498";"TI_HERB_5679";"TI_HERB_5680";"TI_HERB_5681";"TI_HERB_3781";"TI_HERB_5682";"TI_HERB_3704";"TI_HERB_5683";"TI_HERB_5684";"TI_HERB_5685";"TI_HERB_5686";"TI_HERB_5687";"TI_HERB_5688";"TI_HERB_5689";"TI_HERB_5690";"TI_HERB_5691";"TI_HERB_5692";"TI_HERB_5693";"TI_HERB_5694";"TI_HERB_5695";"TI_HERB_5696";"TI_HERB_5697";"TI_HERB_5698";"TI_HERB_5699";"TI_HERB_5700";"TI_HERB_5701";"TI_HERB_5702";"TI_HERB_5703";"TI_HERB_5704";"TI_HERB_5705";"TI_HERB_5706";"TI_HERB_5707";"TI_HERB_5708";"TI_HERB_5709";"TI_HERB_5710";"TI_HERB_5711";"TI_HERB_5712";"TI_HERB_5713";"TI_HERB_5714";"TI_HERB_5715";"TI_HERB_5716";"TI_HERB_5717";"TI_HERB_5718";"TI_HERB_5719";"TI_HERB_5720";"TI_HERB_5721";"TI_HERB_5722";"TI_HERB_5723";"TI_HERB_5724";"TI_HERB_5725";"TI_HERB_5726";"TI_HERB_5727";"TI_HERB_5728";"TI_HERB_5729";"TI_HERB_5730";"TI_HERB_5580";"TI_HERB_5731";"TI_HERB_5732";"TI_HERB_5733";"TI_HERB_5734";"TI_HERB_5735";"TI_HERB_5736";"TI_HERB_5737";"TI_HERB_5738";"TI_HERB_5739";"TI_HERB_5740";"TI_HERB_4609";"TI_HERB_5741";"TI_HERB_5742";"TI_HERB_5743";"TI_HERB_5744";"TI_HERB_5745";"TI_HERB_5746";"TI_HERB_5747";"TI_HERB_5748";"TI_HERB_5749";"TI_HERB_5750";"TI_HERB_5751";"TI_HERB_5752";"TI_HERB_5753"
"TI_PLANT_4971";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_4972";0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_4973";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4974";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"TI_PLANT_4975";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
"TI_PLANT_4976";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_4977";0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"TI_PLANT_4978";0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0
"TI_PLANT_4979";0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4980";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4981";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_4982";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_4983";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
