"";"P22_node_11335";"P22_node_8729";"P22_node_10274";"P22_node_11396";"P22_node_5377";"P22_node_5237";"P22_node_5239";"P22_node_7313";"P22_node_9784";"P22_node_7569";"P22_node_9733";"P22_node_11416";"P22_node_11448";"P22_node_11449";"P22_node_11450";"P22_node_10266";"P22_node_10239";"P22_node_10151";"P22_node_11009";"P22_node_11451";"P22_node_11452";"P22_node_11420";"P22_node_9143";"P22_node_11261";"P22_node_9805";"P22_node_6937";"P22_node_11443";"P22_node_11453";"P22_node_7981";"P22_node_7604";"P22_node_11454";"P22_node_11455";"P22_node_9392";"P22_node_5295";"P22_node_7022";"P22_node_11446";"P22_node_11456";"P22_node_7065";"P22_node_5444";"P22_node_5298";"P22_node_11428";"P22_node_11429"
"P22_node_883";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
"P22_node_2503";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2504";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_747";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2518";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1
"P22_node_791";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
"P22_node_2502";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
"P22_node_2500";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
"P22_node_2517";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0
"P22_node_867";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2514";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1023";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
