"";"TI_HERB_907";"TI_HERB_908";"TI_HERB_909";"TI_HERB_910";"TI_HERB_911";"TI_HERB_912";"TI_HERB_913";"TI_HERB_914";"TI_HERB_915";"TI_HERB_916";"TI_HERB_917";"TI_HERB_918";"TI_HERB_919";"TI_HERB_920";"TI_HERB_921";"TI_HERB_922";"TI_HERB_923";"TI_HERB_924";"TI_HERB_925";"TI_HERB_926";"TI_HERB_927";"TI_HERB_928";"TI_HERB_929";"TI_HERB_930"
"TI_PLANT_803";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"TI_PLANT_804";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_805";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
"TI_PLANT_806";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_807";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_808";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_809";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_810";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_811";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_812";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_813";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_814";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_815";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
