"";"AI22_node_3367";"AI22_node_1322";"AI22_node_171";"AI22_node_244";"AI22_node_253";"AI22_node_308";"AI22_node_2520";"AI22_node_588";"AI22_node_616";"AI22_node_618";"AI22_node_1389";"AI22_node_262";"AI22_node_1045";"AI22_node_3184";"AI22_node_586";"AI22_node_593";"AI22_node_595";"AI22_node_296";"AI22_node_1207";"AI22_node_1209";"AI22_node_1384";"AI22_node_2360";"AI22_node_3055";"AI22_node_5";"AI22_node_3355";"AI22_node_591";"AI22_node_594";"AI22_node_617";"AI22_node_605";"AI22_node_1043";"AI22_node_328";"AI22_node_252";"AI22_node_1300";"AI22_node_3176";"AI22_node_2617";"AI22_node_659";"AI22_node_319";"AI22_node_254";"AI22_node_620";"AI22_node_2394";"AI22_node_120";"AI22_node_660";"AI22_node_1309";"AI22_node_1390";"AI22_node_2053";"AI22_node_3359";"AI22_node_592";"AI22_node_2370";"AI22_node_2634";"AI22_node_1637";"AI22_node_1640"
"AI22_node_1897";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"AI22_node_2008";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_1119";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"AI22_node_2294";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2402";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"AI22_node_2408";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_2742";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
"AI22_node_2885";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_3026";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AI22_node_3203";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0
"AI22_node_3307";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"AI22_node_3321";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
