"";"M22_node_44";"M22_node_1017";"M22_node_1897";"M22_node_1840";"M22_node_983";"M22_node_2423";"M22_node_481";"M22_node_2397";"M22_node_2131";"M22_node_615";"M22_node_1560";"M22_node_883";"M22_node_1141";"M22_node_592";"M22_node_28";"M22_node_738";"M22_node_2093";"M22_node_2382";"M22_node_2401";"M22_node_2187";"M22_node_1153";"M22_node_2493";"M22_node_1164";"M22_node_885";"M22_node_162"
"M22_node_969";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"M22_node_298";0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2060";0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
"M22_node_1220";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"M22_node_241";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
"M22_node_2352";0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"M22_node_1868";0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"M22_node_286";0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"M22_node_1092";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"M22_node_121";0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2229";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_2338";0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"M22_node_18";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_674";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"M22_node_1931";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
