"";"TI_HERB_4169";"TI_HERB_4170";"TI_HERB_4171";"TI_HERB_4172";"TI_HERB_4173";"TI_HERB_4174";"TI_HERB_4175";"TI_HERB_4176";"TI_HERB_4177";"TI_HERB_4178";"TI_HERB_4179";"TI_HERB_4180";"TI_HERB_4181";"TI_HERB_4182";"TI_HERB_4183";"TI_HERB_4184";"TI_HERB_4185";"TI_HERB_4186";"TI_HERB_4187";"TI_HERB_4188";"TI_HERB_4189";"TI_HERB_4190";"TI_HERB_4191";"TI_HERB_4192";"TI_HERB_4193";"TI_HERB_4194";"TI_HERB_4195";"TI_HERB_4196";"TI_HERB_4197";"TI_HERB_4198";"TI_HERB_4199";"TI_HERB_4200";"TI_HERB_4201";"TI_HERB_4202";"TI_HERB_4203";"TI_HERB_4204";"TI_HERB_4205";"TI_HERB_4206";"TI_HERB_4207";"TI_HERB_4208";"TI_HERB_4209";"TI_HERB_4210";"TI_HERB_4211";"TI_HERB_4212";"TI_HERB_4213";"TI_HERB_4214";"TI_HERB_4215";"TI_HERB_4216";"TI_HERB_4217";"TI_HERB_4218";"TI_HERB_4219";"TI_HERB_4220";"TI_HERB_4221";"TI_HERB_4222";"TI_HERB_4223";"TI_HERB_4224";"TI_HERB_4225";"TI_HERB_4226";"TI_HERB_4227";"TI_HERB_4228";"TI_HERB_4229";"TI_HERB_4230";"TI_HERB_4231";"TI_HERB_4232";"TI_HERB_4233";"TI_HERB_4234";"TI_HERB_4235";"TI_HERB_4236";"TI_HERB_4237";"TI_HERB_4238";"TI_HERB_4239";"TI_HERB_4240";"TI_HERB_4241";"TI_HERB_4242";"TI_HERB_4243";"TI_HERB_4244";"TI_HERB_4245";"TI_HERB_4246";"TI_HERB_4247";"TI_HERB_4248";"TI_HERB_4249";"TI_HERB_4250";"TI_HERB_4251";"TI_HERB_4252"
"TI_PLANT_3719";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3720";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3721";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3722";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_3723";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"TI_PLANT_3724";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"TI_PLANT_3725";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3726";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3727";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3728";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3729";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
