"";"Psarocolius decumanus";"Psarocolius wagleri";"Pachyramphus cinnamomeus";"Manacus manacus";"Amazona farinosa";"Pteroglossus torquatus";"Tangara episcopus";"Tangara palmarum";"Melanerpes rubricapillus";"Tyrannus melancholicus";"Brotogeris jugularis";"Euphonia laniirostris";"Coereba flaveola";"Turdus grayi";"Myiozetetes cayanensis";"Ramphocelus dimidiatus";"Saltator maximus";"Psarocolius guatimozinus";"Ara militaris";"Tangara inornata";"Icterus galbula";"Icterus spurius";"Vireo olivaceus";"Piranga rubra";"Catharus ustulatus";"Ramphastos ambiguus";"Piranga olivacea";"Cyanocorax affinis";"Myiodynastes luteiventris";"Ortalis cinereiceps";"Ara severus";"Icterus auricapillus";"Tyrannus tyrannus";"Catharus minimus";"Leiothlypis peregrina";"Dacnis cayana";"Cacicus cela";"Pitangus sulphuratus";"Saltator coerulescens";"Setophaga castanea";"Elaenia flavogaster";"Forpus conspicillatus";"Tangara larvata";"Amazona ochrocephala";"Myiarchus crinitus"
"Murraya paniculata";0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Syzygium malaccense";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Terminalia catappa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coccoloba padiformis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trema micrantha";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Urera baccifera";0;0;0;0;0;0;5;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Virola reidii";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus americana";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia subcrustulata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0
"Bursera inversa";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cissus tinctoria";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Zanthoxylum riedelianum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Samanea saman";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Guarea macrophylla";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Guarea guidonia";0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"Psidium guajava";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
