"";"Anisognathus somptuosus";"Psittacara leucophthalmus";"Aulacorhynchus derbianus";"Catharus ustulatus";"Cephalopterus ornatus";"Chiroxiphia boliviana";"Chlorochrysa calliparaea";"Chlorophonia cyanea";"Chlorospingus flavigularis";"Chlorospingus ophthalmicus";"Chlorospingus parvirostris";"Colaptes rubiginosus";"Cyanerpes caeruleus";"Cyanocorax yncas";"Dacnis cayana";"Diglossa caerulescens";"Diglossa cyanea";"Diglossa glauca";"Elaenia albiceps";"Elaenia pallatangae";"Entomodestes leucotis";"Eubucco versicolor";"Euphonia mesochrysa";"Euphonia xanthogaster";"Iridophanes pulcherrimus";"Iridosornis analis";"Lepidothrix coeruleocapilla";"Lophotriccus pileatus";"Mionectes striaticollis";"Myadestes ralloides";"Ortalis guttata";"Patagioenas plumbea";"Penelope montagnii";"Pharomachrus antisianus";"Pharomachrus auriceps";"Pipreola intermedia";"Piranga rubra";"Psarocolius angustifrons";"Psarocolius atrovirens";"Ramphocelus carbo";"Rupicola peruvianus";"Saltator maximus";"Tangara arthus";"Tangara chilensis";"Tangara chrysotis";"Tangara cyanicollis";"Tangara gyrola";"Tangara nigroviridis";"Tangara punctata";"Tangara ruficervix";"Tangara vassorii";"Tangara xanthocephala";"Thraupis bonariensis";"Sporathraupis cyanocephala";"Tangara episcopus";"Tangara palmarum";"Trichothraupis melanops";"Turdus chiguanco";"Chloropipo unicolor";"Zimmerius bolivianus"
"Elaeagia mariae";0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ficus americana";0;0;0;0;0;0;6;30;2;9;5;0;0;0;0;0;0;2;0;0;0;0;0;15;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;0;0;1;10;0;1;0;0;0;0;0;0
"Ficus coerulescens";0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;1;0;0;2;5;6;0;0;0;0;0;0;0;0;0;0;0;0
"Graffenrieda cucullata";0;0;0;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;7;0;0;20;1;0;13;0;0;0;0;0;0;0;0
"Guatteria duodecima";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Guatteria terminalis";0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Guettarda crispiflora";0;0;0;2;0;0;2;0;5;3;0;0;0;0;1;0;0;5;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;3;2;0;10;2;0;2;5;1;1;1;0;2;0;0;0;0;0;0;0;0
"Hedyosmum racemosum";0;0;0;14;0;0;1;0;12;6;8;0;0;0;0;0;1;0;0;0;6;5;0;0;0;5;1;1;0;11;5;0;2;1;0;2;0;0;0;20;8;0;10;11;2;2;0;1;1;0;0;1;1;2;18;6;0;10;6;0
"Ilex nervosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Isertia laevis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;2;0;0;4;0;2;3;0;0;1;0;0;0;0;0;0;0;0
"Miconia affinis";0;0;0;0;0;0;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia aprica";4;0;0;0;0;4;160;70;99;54;54;16;1;19;1;16;0;333;5;4;0;34;61;185;5;36;0;1;7;17;35;0;4;0;0;0;0;29;43;184;0;25;175;175;0;536;68;336;239;9;4;181;1;4;9;0;7;1;0;4
"Miconia barbeyana";2;0;0;0;0;1;10;0;12;5;11;0;0;0;0;0;0;31;0;0;0;3;0;9;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;1;6;8;0;15;3;10;33;1;0;0;0;0;0;0;1;0;0;0
"Miconia calvescens";0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia cyanocarpa";0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0
"Miconia egensis";0;0;0;0;0;0;5;0;0;0;3;0;0;0;0;0;0;8;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;13;0;25;0;8;9;0;0;3;1;0;0;0;0;0;0;0
"Miconia hygrophila";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Miconia longifolia";0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia myriantha";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
"Miconia prasina";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia spennerostachya";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0;0
"Myrcia fallax";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrsine coriacea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Neea_GBIFresolved_net_182";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Palicourea lineata";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Peristethium polystachyum";0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;1;1;0;0;3;3;0;0;0;1;18;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;2
"Phoradendron chrysocladon";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pleurothyrium trianae";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus floribundus";2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Schefflera mathewsii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Smilax domingensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Symplocos arechea";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Trema micrantha";0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;0;1;0;0;0;3;0;1;0;0;0;0;0;0
"Turpinia occidentalis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"Viburnum hallii";0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Vismia gracilis";0;0;0;1;0;0;0;0;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Zanthoxylum mantaro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0
