"";"Leptotila rufaxilla";"Patagioenas cayennensis";"Patagioenas picazuro";"Penelope superciliaris";"Cyanocorax chrysops";"Cyanocorax cristatellus";"Arremon flavirostris";"Euphonia chlorotica";"Icterus pyrrhopterus";"Molothrus bonariensis";"Mimus saturninus";"Setophaga pitiayumi";"Antilophia galeata";"Thamnophilus doliatus";"Thamnophilus punctatus";"Coereba flaveola";"Conirostrum speciosum";"Dacnis cayana";"Nemosia pileata";"Pipraeidea melanonota";"Saltator similis";"Tangara cayana";"Tersina viridis";"Tangara sayaca";"Pachyramphus validus";"Tityra cayana";"Turdus amaurochalinus";"Turdus leucomelas";"Camptostoma obsoletum";"Casiornis rufus";"Elaenia flavogaster";"Elaenia mesoleuca";"Empidonomus varius";"Lathrotriccus euleri";"Megarynchus pitangua";"Myiarchus ferox";"Myiarchus tyrannulus";"Myiodynastes maculatus";"Myiozetetes similis";"Pitangus sulphuratus";"Serpophaga subcristata";"Tyrannus melancholicus";"Cyclarhis gujanensis";"Vireo olivaceus";"Celeus flavescens";"Melanerpes candidus";"Eupsittula aurea";"Psittacara leucophthalmus";"Brotogeris chiriri"
"Erythroxylum cuneifolium";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pera glabrata";1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;77;5;0;0;9;0;4;4;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;8;0;0;0;0;0;0;0;0
"Savia dictyocarpa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
"Lacistema hasslerianum";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ocotea bicolor";0;0;0;6;1;2;0;0;0;0;6;0;0;0;0;0;0;17;0;0;0;17;3;10;9;4;0;6;2;4;1;0;1;0;5;0;0;1;1;3;0;0;0;5;1;0;0;26;0
"Ocotea pulchella";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoradendron falcifrons";0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Byrsonima intermedia";0;0;0;14;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;4;0;0;0;0;0;0;2;0;0;0;6;1;0;2;0;0;0;0;0;0;0
"Miconia albicans";0;0;0;2;1;0;1;0;0;0;0;0;0;0;1;0;2;10;0;0;1;4;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Miconia paucidens";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia ligustroides";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Miconia stenostachya";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Trichilia pallida";15;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;7;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;0
"Siparuna guianensis";0;2;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"Ficus citrifolia";0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Virola sebifera";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;11;1;0;1;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrsine guianensis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Myrcia venulosa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;4;0;0;0;14;0;0;0;0;0;0;0;0;0;0;2;7;0;3;0;0;0;0;0;0;0
"Myrciaria floribunda";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ouratea castaneifolia";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;2;2;0;1;0;0;1;0;0;0;0
"Prunus myrtifolia";0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cordiera sessilis";0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Amaioua guianensis";0;0;0;3;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10;0;2;0;0;4;27;0;0;0;2;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0
"Coussarea hydrangeifolia";0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Palicourea crocea";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Rudgea viburnoides";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cupania vernalis";0;0;0;0;15;0;0;0;0;0;1;0;0;1;0;0;0;1;5;0;0;1;0;3;11;0;0;9;0;0;0;0;2;0;0;5;0;12;0;0;0;1;0;3;0;0;0;0;0
"Smilax fluminensis";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Styrax ferrugineus";0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;20;1;0;3;15;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
