"";"Irena puella";"Treron phayrei";"Eudynamys scolopaceus";"Rubigula flaviventris";"Macropygia unchall";"Psilopogon duvaucelii";"Oriolus xanthornus";"Hypsipetes leucocephalus";"Oriolus chinensis";"Psilopogon asiaticus";"Lalage melaschistos";"Siva cyanouroptera";"Sitta cinnamoventris";"Gracula religiosa";"Aegithina tiphia";"Acridotheres tristis";"Orthotomus sutorius";"Sturnia malabarica";"Chloropsis aurifrons";"Picus canus";"Ducula aenea";"Garrulax pectoralis";"Psilopogon virens";"Chrysocolaptes guttacristatus";"Buceros bicornis";"Chrysophlegma flavinucha";"Acridotheres fuscus";"Coracina macei";"Picus chlorolophus";"Psilopogon lineatus";"Garrulax monileger";"Oriolus traillii";"Ducula badia";"Chloropsis hardwickii";"Anthracoceros albirostris";"Treron apicauda";"Psittacula alexandri";"Gallus gallus";"Pycnonotus cafer";"Pycnonotus jocosus";"Melanochlora sultanea";"Treron curvirostra";"Loriculus vernalis";"Yuhina flavicollis";"Rhyticeros undulatus";"Alophoixus flaveolus";"Treron sphenurus"
"Ficus nervosa";131;0;0;104;0;1;0;0;0;131;1;0;0;5;0;0;0;0;2;0;0;0;0;0;0;13;0;0;0;84;7;2;0;0;0;181;0;0;0;0;4;0;0;0;0;202;3
"Ficus obtusifolia";1;0;0;30;0;0;1;0;0;63;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;15;0;1;0;12;0;0;0;0;0;0;0;0;0;0;1;97;0
"Ficus_GBIFresolved_net_092";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
"Heteropanax fragrans";0;0;0;13;6;0;0;320;0;21;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;20;5
"Horsfieldia kingii";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0;8;0;0
"Knema erratica";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Leea indica";0;0;0;32;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0
"Litsea_net_051";0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0
"Livistona jenkinsiana";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0
"Micromelum integerrimum";13;0;0;22;0;35;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;0;0;7;0;0;0;0;0;0;15;0
"Olea dioica";0;0;0;0;42;0;0;437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoebe goalparensis";0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Phoebe_GBIFresolved_net_051";0;0;0;0;0;0;0;0;0;268;0;0;0;343;0;0;0;0;0;0;36;0;0;0;2;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0
"Picrasma javanica";0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;17;0
"Polyalthia simiarum";0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;4;0;1;0;5;0;0;0;0;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0
"Prunus ceylanica";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;54;0;0;0;0;0;0;0;0;0;0;0;9;0;0
"Sloanea sterculiacea";9;0;0;69;0;0;1;0;6;13;0;0;28;70;0;0;0;250;0;5;0;0;0;0;0;23;37;0;8;32;0;11;0;0;2;0;0;7;0;28;0;0;0;0;0;88;0
"Sterculia villosa";1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;113;0;29;0;0;0;0;0;0;0;0
"Syzygium_GBIFresolved_net_051";364;0;0;1;0;0;0;972;0;15;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;51;2
"Tetradium glabrifolium";3;0;0;17;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vitex glabrata";0;0;0;117;0;0;0;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;265;0
"Zanthoxylum retusum";18;0;1;52;0;0;0;0;0;10;0;0;0;3;0;196;0;9;0;10;0;9;0;1;0;11;0;0;3;13;0;0;0;0;1;0;0;0;206;0;0;0;0;0;0;50;0
