"";"Pycnonotus barbatus";"Sylvia atricapilla";"Cinnyricinclus leucogaster";"Phylloscopus trochilus";"Turdus pelios";"Eurillas latirostris";"Zosterops senegalensis";"Bycanistes subcylindricus";"Buccanodon duchaillui";"Pogoniulus bilineatus";"Chlorocichla laetissima";"Gymnobucco bonapartei";"Andropadus masukuensis";"Ploceus bicolor";"Phyllastrephus hypochloris";"Eurillas curvirostris";"Melaniparus funereus";"Phylloscopus budongoensis";"Phyllastrephus cabanisi";"Trachyphonus purpuratus";"Stelgidillas gracilirostris";"Crithagra citrinelloides";"Apalis rufogularis";"Baeopogon indicator";"Hippolais pallida";"Andropadus virens";"Crithagra mozambica";"Colius striatus";"Musophaga rossae";"Nigrita canicapillus";"Turtur tympanistria";"Tricholaema hirsuta";"Bleda syndactylus";"Oriolus brachyrynchus";"Phylloscopus sibilatrix";"Treron calvus";"Turdus olivaceus";"Cuculus clamosus";"Ploceus nigerrimus";"Sylvia borin";"Chamaetylas poliocephala";"Eremomela turneri";"Eurillas ansorgei";"Estrilda nonnula";"Nigrita fusconotus";"Elminia longicauda";"Platysteira castanea";"Platysteira cyanea";"Ploceus insignis";"Ploceus melanocephalus";"Ploceus ocularis";"Turdoides sharpei";"Anthoscopus caroli";"Bathmocercus rufus";"Centropus monachus";"Chalcomitra senegalensis";"Aplopelia larvata";"Sheppardia polioptera";"Laniarius luehderi";"Pogonornis bidentatus";"Melaniparus albiventris";"Phoenicurus phoenicurus";"Ploceus baglafecht";"Ploceus nigricollis";"Schistolais leucopogon";"Crithagra dorsostriata";"Spermophaga ruficapilla";"Terpsiphone viridis";"Lophoceros alboterminatus";"Campephaga flava";"Chalcomitra amethystina";"Atimastillas flavicollis";"Cossypha heuglini";"Cossypha niveicapilla";"Cyanomitra olivacea";"Cyanomitra verticalis";"Dicrurus adsimilis";"Hylia prasina";"Malimbus rubricollis";"Oriolus auratus";"Prinia bairdii";"Prodotiscus insignis";"Sylvia communis"
"Ficus exasperata";9;21;0;2;0;0;3;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
"Polyscias fulva";42;16;0;4;0;3;6;0;1;2;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cyphostemma cyphopetalum";9;9;0;0;2;1;10;0;1;7;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Casearia battiscombei";2;1;0;2;0;0;0;0;0;24;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Harungana madagascariensis";2;11;0;0;4;6;3;0;0;8;6;0;0;0;3;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Lantana camara";7;13;0;0;0;0;4;0;1;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
"Solanum mauritianum";0;6;0;6;0;0;5;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Jasminum fluminense";2;11;0;0;0;2;0;0;1;6;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Carissa edulis";8;2;0;0;4;3;0;0;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cissus oliveri";3;2;0;0;0;3;4;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Maesa lanceolata";0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"Pittosporum viridiflorum";6;5;0;0;0;2;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rhamnus prinoides";6;5;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Siphonanthus capitata";0;6;0;0;1;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"Toddalia asiatica";0;7;0;0;0;2;0;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Culcasia falcifolia";0;0;0;0;0;2;0;0;1;1;4;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Piper guineense";0;2;0;1;0;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Allophylus abyssinicus";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coffea eugenioides";0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Psychotria peduncularis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Dracaena fragrans";0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Rubus niveus";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
