"";"TI_HERB_4800";"TI_HERB_4801";"TI_HERB_4802";"TI_HERB_4803";"TI_HERB_4804";"TI_HERB_4805";"TI_HERB_4806";"TI_HERB_4807";"TI_HERB_4808";"TI_HERB_4809";"TI_HERB_4810";"TI_HERB_4811";"TI_HERB_4812";"TI_HERB_4813";"TI_HERB_4814";"TI_HERB_4815";"TI_HERB_4816";"TI_HERB_4817";"TI_HERB_4818";"TI_HERB_4819";"TI_HERB_4820";"TI_HERB_4821";"TI_HERB_4822";"TI_HERB_4823"
"TI_PLANT_4346";0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_4347";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4348";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4349";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4350";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4351";1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_3820";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0
"TI_PLANT_4352";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_4353";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4354";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4355";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4356";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4357";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4358";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4359";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_4360";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_4361";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4362";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4363";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4364";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4365";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4366";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"TI_PLANT_4367";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"TI_PLANT_4368";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_4369";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_4370";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_4371";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
