"";"TI_HERB_1384";"TI_HERB_1385";"TI_HERB_1386";"TI_HERB_1387";"TI_HERB_1388";"TI_HERB_1389";"TI_HERB_1390";"TI_HERB_1391";"TI_HERB_1392";"TI_HERB_1393";"TI_HERB_1394";"TI_HERB_1395";"TI_HERB_1396";"TI_HERB_1397";"TI_HERB_1398";"TI_HERB_1399";"TI_HERB_1400";"TI_HERB_1401";"TI_HERB_1402";"TI_HERB_1403";"TI_HERB_1404";"TI_HERB_1405"
"TI_PLANT_1760";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_1761";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1762";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1763";0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_1764";0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0
"TI_PLANT_1765";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"TI_PLANT_1766";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1767";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1768";0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0
"TI_PLANT_1769";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"TI_PLANT_1770";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"TI_PLANT_1771";0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
"TI_PLANT_1772";0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1
"TI_PLANT_1773";0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1
"TI_PLANT_1774";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"TI_PLANT_1775";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0
"TI_PLANT_1776";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1777";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"TI_PLANT_1778";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1779";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1780";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"TI_PLANT_1781";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"TI_PLANT_1782";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1783";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1784";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_1785";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1786";0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0
"TI_PLANT_1787";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"TI_PLANT_1788";0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"TI_PLANT_1789";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
