"";"WOL_node_3409";"WOL_node_7457";"WOL_node_1088";"WOL_node_3056";"WOL_node_12729";"WOL_node_2773";"WOL_node_3751";"WOL_node_7104";"WOL_node_10651";"WOL_node_12702";"WOL_node_9058";"WOL_node_7566"
"WOL_node_2673";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_2677";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2678";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2731";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_3933";0;1;1;1;0;0;0;1;0;0;0;0
"WOL_node_3935";0;0;1;1;0;0;0;0;0;0;0;0
"WOL_node_4377";1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_4663";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_4816";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_4981";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_5012";0;0;1;0;0;0;0;0;0;0;1;0
"WOL_node_5016";1;0;0;0;0;0;0;1;0;0;1;0
"WOL_node_5036";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5041";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_5046";1;1;0;0;1;0;0;1;0;0;0;0
"WOL_node_5094";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_5704";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_5720";0;0;1;0;0;1;0;0;0;0;0;0
"WOL_node_6112";0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_6206";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_6210";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_6237";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_6556";0;0;0;0;0;0;0;0;1;0;0;0
"WOL_node_7383";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_7477";1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_7686";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_8545";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8584";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_8907";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_8929";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_8982";0;0;0;0;0;0;0;0;0;0;1;0
"WOL_node_8996";1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_8997";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_9251";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_9288";1;1;0;1;0;0;0;0;0;0;0;0
"WOL_node_9395";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_9550";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_9565";1;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_9792";1;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_9803";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10013";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_10655";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_11084";1;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_11712";1;1;0;0;1;0;0;1;0;1;0;0
"WOL_node_11715";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12152";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12153";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12358";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12359";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12360";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12449";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_12633";0;0;1;0;0;0;0;0;0;0;0;0
"WOL_node_12771";1;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_12823";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15364";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15617";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15623";1;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_15694";0;1;0;0;0;0;0;1;0;0;0;0
"WOL_node_583";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_909";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_2134";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3476";1;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_3773";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_3940";1;1;1;1;1;0;0;1;1;0;1;0
"WOL_node_4546";0;0;0;0;0;0;0;0;0;0;0;1
"WOL_node_5017";0;1;1;0;0;0;1;1;0;0;1;0
"WOL_node_7722";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_9346";0;0;0;0;0;0;0;1;0;0;0;0
"WOL_node_10471";0;1;0;0;0;0;0;0;0;0;0;0
"WOL_node_10868";0;0;0;1;0;0;0;0;0;0;0;0
"WOL_node_11723";0;1;0;1;0;0;0;1;0;0;0;0
"WOL_node_11743";1;0;0;0;0;0;0;0;0;0;0;0
"WOL_node_15628";1;0;0;0;0;0;0;0;0;0;0;0
