web;insectorder;insectfamily;insectgenus;insectspecies;plantfamily;plantgenus;plantspecies
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Lythraceae;Lawsonis;inermis
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Melilotus;indica
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Neuradaceae;Neurada;procumbens
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Mimosaceae ;Pithecellobium;dulce
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Mimosaceae ;Prosopis;juliflora
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Rosaceae;Prunus;armeniaca
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Brassicaceae;Raphanus;sativus
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Anacardiaceae;Schinus;molle
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Bignoniaceae;Tecoma;stans
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Vicia;faba
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Vigna ;ungniculata
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;;Cestrum;nocturnum
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Cucurbitaceae;Cucurbita;pepo
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Caryophyllaceae;Dianthus ;caryophyllus
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Sapindaceae;Dodonea;viscosa
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Apocynaceae;Nerium;oleander
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Geraniaceae;Pelargonium;
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Bignoniaceae;Tecoma;stans
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Fabaceae;Trigonella;foenum-graecum
Aldryhim1985;Hemiptera;Aphididae;Aphis;solanella;Solanaceae;Solanum;nigrum
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Aloeaceae;Aloe ;vera
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Brassicaceae;Brassica;oleracea
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Asteracae;Calendula;officinalis
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Apocynaceae;Catharanthus;roseus
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Chenopodiaceae;Chenopodium;ambrosioides
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Solanaceae;Capsicum;frutescens
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Asteracae;Chrysanthemum;leucanthemum
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Cucurbitaceae;Citrullus;colocynthis
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Rutaceae;Citrus;
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Convolvulaceae;Convolvulus;arvensis
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Cucurbitaceae;Cucumis;
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Cucurbitaceae;Cucurbita;pepo
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Cucurbitaceae;Cucurbita;
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Fabaceae;Dolichos ;lablab
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Moraceae;Ficus;carica
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Malvaceae;Gossypium;
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Asteracae;Helianthus;annuus
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Malvaceae;Hibiscus;esculentus
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Malvaceae;Hibiscus;rosa-sinensis
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Malvaceae;Malva;parviflora
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Lamiaceae;Mentha;piperata
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Scrophulariaceae;Myoporum;laetum
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Lamiaceae;Ocimum;basilicum
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Pittosporaceae;Pittosporum;tobira
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Rosaceae;Prunus;armeniaca
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Punicaceae;Punica;granatum
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;;Salvia;slenpens
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Solanaceae;Solanum;melongena
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Solanaceae;Solanum;tuberosum
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Bignoniaceae;Tecoma;stans
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Vitaceae;Vitis;vinifera
Aldryhim1985;Hemiptera;Aphididae;Aphis;nasturtii;Lythraceae;Lawsonis;inermis
Aldryhim1985;Hemiptera;Aphididae;Aphis;nerii;Apocynaceae;Calotropis;procera
Aldryhim1985;Hemiptera;Aphididae;Aphis;nerii;Apocynaceae;Pergularis;tomentosa
Aldryhim1985;Hemiptera;Aphididae;Aphis;punicae;Punicaceae;Punica;granatum
Aldryhim1985;Hemiptera;Aphididae;Aphis;spiraecola;Rutaceae;Citrus;
Aldryhim1985;Hemiptera;Aphididae;Aphis;urticata;unkown host;;
Aldryhim1985;Hemiptera;Aphididae;Brachyunguis;harmalae;Apocynaceae;Calotropis;procera
Aldryhim1985;Hemiptera;Aphididae;Brachyunguis;harmalae;Mimosaceae ;Prosopis;juliflora
Aldryhim1985;Hemiptera;Aphididae;Brachyunguis;tamaricis;Tamaricaceae;Tamarix;
Aldryhim1985;Hemiptera;Aphididae;Hyalopterus;pruni;Poaceae;Arundo;donax
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;Poaceae;Cynodon;dactylon
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;Sapindaceae;Dodonea;viscosa
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;Poaceae;Arundo;donax
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;Poaceae;Eragrostis;
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;Arecaceae;Phoenix;dactylifera
Aldryhim1985;Hemiptera;Aphididae;Melanaphis;sacchari;Poaceae;Sorghum;sudanense
Aldryhim1985;Hemiptera;Aphididae;Melanaphis;sacchari;Poaceae;Sorghum;vulgare
Aldryhim1985;Hemiptera;Aphididae;Melanaphis;sacchari;Poaceae;Zea;mays
Aldryhim1985;Hemiptera;Aphididae;Rhopalosiphum;padi;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Rhopalosiphum;padi;Poaceae;Zea;mays
Aldryhim1985;Hemiptera;Aphididae;Rhopalosiphum;rufiabdominalis;Apiaceae;Coroandrum;sativum
Aldryhim1985;Hemiptera;Aphididae;Rhopalosiphum;rufiabdominalis;Poaceae;Phalaris;minor
Aldryhim1985;Hemiptera;Aphididae;Schizaphis;graminum;Poaceae;Avena;sativa
Aldryhim1985;Hemiptera;Aphididae;Schizaphis;graminum;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Schizaphis;rotundiventris;Cyperaceae;Cyrerus ;rotundus
Aldryhim1985;Hemiptera;Aphididae;Paraschizaphis;rosazevedoi;;Typha;
Aldryhim1985;Hemiptera;Aphididae;Acyrthosiphon;gossypii;Fabaceae;Vicia;faba
Aldryhim1985;Hemiptera;Aphididae;Acyrthosiphon;kondoi;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Acyrthosiphon;pisum;Fabaceae;Vicia;faba
Aldryhim1985;Hemiptera;Aphididae;Brachycaudus;helichrysi ;Asteraceae;Helianthus;annuus
Aldryhim1985;Hemiptera;Aphididae;Brevisoryne;brassicae;Plantaginaceae;Antirrhinum;majus
Aldryhim1985;Hemiptera;Aphididae;Brevisoryne;brassicae;Brassicaceae;Brassica;oleracea
Aldryhim1985;Hemiptera;Aphididae;Brevisoryne;brassicae;Brassicaceae;Brassica;rapa
Aldryhim1985;Hemiptera;Aphididae;Cavariella;aegopodii;Apiaceae;Petroselinum;crispum
Aldryhim1985;Hemiptera;Aphididae;Dysaphis;apiifolia;Apiaceae;Petroselinum;crispum
Aldryhim1985;Hemiptera;Aphididae;Dysaphis;emicis;Polygonaceae;Rumex;obtusifolius
Aldryhim1985;Hemiptera;Aphididae;Dysaphis;foeniculus;Apiaceae;Daucus;carota
Aldryhim1985;Hemiptera;Aphididae;Hyadaphis;coriandri;Apiaceae;Petroselinum;crispum
Aldryhim1985;Hemiptera;Aphididae;Hyperomyzus;lactucae;Asteraceae;Sonchus;oleraceus
Aldryhim1985;Hemiptera;Aphididae;Lipaphis;erysimi;Brassicaceae;Brassica;rapa
Aldryhim1985;Hemiptera;Aphididae;Lipaphis;erysimi;Brassicaceae;Raphanus;sativus
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Cannaceae;Canna;indica
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Apocynaceae;Catharanthus;roseus
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Rutaceae;Citrus;
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Convolvulaceae;Ipomoea ;
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Asteracae;Lactuca;sativa
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Moraceae;Morus;alba 
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Fabaceae;Pisum;sativum
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;;Pittosporum;tobira
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Rosaceae;Prunus;armeniaca
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Rosaceae;Rosa ;
Aldryhim1985;Hemiptera;Aphididae;Metopolophium;festucae cerealium;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Rosaceae;Althaea;rosea
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Amaranthaceae ;Beta;vulgaris
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Nyctaginaceae ;Bougainvillea;spectabilis
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Brassicaceae;Brassica;napus
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;;Clerodendron;inerne
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Convolvulaceae;Convolvulus;arvensis
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Capsicum;frutescens
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Cestrum;nocturnum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Rutaceae;Citrus;
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Convolvulaceae;Convolvulus;
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;;Eruca;sativa
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Asteraceae;Helianthus;annuus
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Malvaceae;Hibiscus;rosa-sinensis
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Convolvulaceae;Ipomoea ;
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Lycopersicum;esculentum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Malvaceae;Malva;parviflora
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Malvaceae;Malvaviscus;arboreus
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Petunia;hybrida
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;;Pisum;sativum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Brassicaceae;Raphanus;sativus
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Rosaceae;Rosa ;
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Solanum;melongena
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Solanum;tuberosum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Chenopodiaceae;Spinacia;oleracea
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Asteraceae;Tagetes;patula 
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Urticaceae;Urtica;urens
Aldryhim1985;Hemiptera;Aphididae;Rhodobium;porosum;Rosaceae;Rosa ;
Aldryhim1985;Hemiptera;Aphididae;Sitobion;avenae;Poaceae;Setaria;verticillata
Aldryhim1985;Hemiptera;Aphididae;Sitobion;avenae;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Sitobion;fragariae;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Uroleucon;compositae;Asteraceae;Calendula;officinalis
Aldryhim1985;Hemiptera;Aphididae;Uroleucon;compositae;Asteraceae;Centaurea;moschata
Aldryhim1985;Hemiptera;Aphididae;Uroleucon;sonchi;Asteraceae;Sonchus;oleraceus
Aldryhim1985;Hemiptera;Aphididae;Saltusaphis;scirpus;Cyperaceae;Cyperus;rotundus
Aldryhim1985;Hemiptera;Aphididae;Therioaphis;trifolii;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Eriosoma;lanigerum;Rosaceae;Malus;silvestris
Aldryhim1985;Hemiptera;Aphididae;Aphis;affinis;Lamiaceae;Mentha;piperata
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Brassicaceae;Brassica;rapa
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Cucurbitaceae;Cucurbita;pepo
Aldryhim1985;Hemiptera;Aphididae;Acyrthosiphon;kondoi;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Lipaphis;erysimi;Brassicaceae;Raphanus;sativus
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;;Eruca;sativa
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Brassicaceae;Brassica;oleracea
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Brassicaceae;Brassica;rapa
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Asteraceae;Lactuca;sativa
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Apiaceae;Petroselinum;crispum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Brassicaceae;Raphanus;sativus
Aldryhim1985;Hemiptera;Aphididae;Aphis;affinis;Lamiaceae;Mentha;piperata
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Vicia;faba
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Amaranthaceae ;Beta;vulgaris
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Asparagaceae ;Chlorophytum;sternbergianum
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Fabaceae;Vicia;faba
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Rutaceae;Citrus ;
Aldryhim1985;Hemiptera;Aphididae;Aphis;nerii;Apocynaceae;Calotropis;procera
Aldryhim1985;Hemiptera;Aphididae;Aphis;spiraecola;Rutaceae;Citrus;
Aldryhim1985;Hemiptera;Aphididae;Acyrthosiphon;lactucae;Asteracae;Lactuca;sativa
Aldryhim1985;Hemiptera;Aphididae;Brevisoryne;brassicae;Brassicaceae;Brassica;oleracea
Aldryhim1985;Hemiptera;Aphididae;Lipaphis;erysimi;Brassicaceae;Brassica;oleracea
Aldryhim1985;Hemiptera;Aphididae;Aphis;affinis;Lamiaceae;Mentha;piperata
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Spira;Chenopodium;ambrosioides
Aldryhim1985;Hemiptera;Aphididae;Aphis;craccivora;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Aphis;fabae;Asteraceae;Verbesinia;encelioides
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Moraceae;Ficus;
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Loranthaceae;Phragmanthera;regularis
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Solanaceae;Withania;somnifera
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Aloeaceae;Aloe ;vera
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Malvaceae;Hibiscus;esculentus
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Anacardiaceae;Mangifera;indica
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Zygophyllaceae;Tribulus;pentandrus
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Fabaceae;Dolichos ;lablab
Aldryhim1985;Hemiptera;Aphididae;Aphis;gossypii;Solanaceae;Solanum;melongena
Aldryhim1985;Hemiptera;Aphididae;Aphis;hillerislambersi;Euphorbiaceae;Euphorbia;granulata
Aldryhim1985;Hemiptera;Aphididae;Aphis;hillerislambersi;Euphorbiaceae;Euphorbia;schimperiana
Aldryhim1985;Hemiptera;Aphididae;Aphis;nasturtii;Polygonaceae;Rumex;nervoses
Aldryhim1985;Hemiptera;Aphididae;Aphis;nerii;Apocynaceae;Nerium;oleander
Aldryhim1985;Hemiptera;Aphididae;Brachyunguis;tamaricis;Tamaricaceae;Tamarix;
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;Poaceae;Arundo;donax
Aldryhim1985;Hemiptera;Aphididae;Hysteroneura;setariae;;Pennisetum;typhoides
Aldryhim1985;Hemiptera;Aphididae;Melanaphis;sacchari;Poaceae;Sorghum;vulgare
Aldryhim1985;Hemiptera;Aphididae;Melanaphis;sacchari;Poaceae;Arundo;donax
Aldryhim1985;Hemiptera;Aphididae;Schizaphis;graminum;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Acyrthosiphon;gossypii;Fabaceae;Dolichos ;lablab
Aldryhim1985;Hemiptera;Aphididae;Aulacorthum;solani;Unidentified host;;
Aldryhim1985;Hemiptera;Aphididae;Brachycaudus;helichrysi ;Asteraceae;Euryops;arabicus
Aldryhim1985;Hemiptera;Aphididae;Brachycaudus;helichrysi ;Rosaceae;Prunus;persica
Aldryhim1985;Hemiptera;Aphididae;Cavariella;aegopodii;Apiaceae;Anethum;graveolens
Aldryhim1985;Hemiptera;Aphididae;Cavariella;aegopodii;Apiaceae;Anisum;sativum
Aldryhim1985;Hemiptera;Aphididae;Dysaphis;foeniculus;Apiaceae;Foeniculus;vulgare
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Boraginaceae;Alkanna;orientalis
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Amaranthaceae ;Chenopodium;murale
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Convolvulaceae;Convolvulus;arvensis
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Fabaceae;Dolichos ;lablab
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Asteraceae;Helianthus;annuus
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Asteracae;Lactuca;saligna
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Solanaceae;Lycium;arabicum
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Solanaceae;Lycopersicum;esculentum
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Rosaceae;Malus;silvestris
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;euphorbiae;Asteraceae;Verbesinia;encelioides
Aldryhim1985;Hemiptera;Aphididae;Macrosiphum;rosae;Rosaceae;Rosa ;
Aldryhim1985;Hemiptera;Aphididae;Metopolophium;dirhodum;Poaceae;Avena ;futua
Aldryhim1985;Hemiptera;Aphididae;Metopolophium;dirhodum;Poaceae;Avena ;sativa
Aldryhim1985;Hemiptera;Aphididae;Metopolophium;dirhodum;Poaceae;Triticum;aesticum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;ornatus ;Lamiaceae;Ocimum;basilicum
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Solanaceae;Capsicum;frutescens
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Asteracae;Euyops;arabicus
Aldryhim1985;Hemiptera;Aphididae;Myzus ;persicae ;Rosaceae;Prunus;persica
Aldryhim1985;Hemiptera;Aphididae;Nasonovia;ribis-nigri;Asteraceae;Lactuca;sativa
Aldryhim1985;Hemiptera;Aphididae;Ovatus;crataegarius;Rosaceae;Malus;silvestris
Aldryhim1985;Hemiptera;Aphididae;Ovatus;crataegarius;;Ocimum;basilicum
Aldryhim1985;Hemiptera;Aphididae;Pseudaphis;;Poaceae;Pennisetum;setaceum
Aldryhim1985;Hemiptera;Aphididae;Pseudaphis;;Poaceae;Pennisetum;typhoides
Aldryhim1985;Hemiptera;Aphididae;Rhodobium;porosum;Rosaceae;Rosa ;
Aldryhim1985;Hemiptera;Aphididae;Sitobion;africanum;Moraceae;Ficus;
Aldryhim1985;Hemiptera;Aphididae;Sitobion;africanum;Poaceae;Pennisetum;setaceum
Aldryhim1985;Hemiptera;Aphididae;Sitobion;asirum;;Phragmanthera;regularis
Aldryhim1985;Hemiptera;Aphididae;Uroleucon;sonchi;Asteraceae;Sonchus;oleraceus
Aldryhim1985;Hemiptera;Aphididae;Therioaphis;trifolii;Fabaceae;Medicago;sativa
Aldryhim1985;Hemiptera;Aphididae;Cinara;maghrebica;Pinaceae ;Pinus;halepensis
