"","gateway_node_2423","gateway_node_4001","gateway_node_5232","gateway_node_1972","gateway_node_3499","gateway_node_2317","gateway_node_777","gateway_node_3147","gateway_node_4574","gateway_node_1151","gateway_node_3264","gateway_node_3185","gateway_node_2079","gateway_node_4779","gateway_node_3455","gateway_node_4662","gateway_node_563","gateway_node_2718","gateway_node_22","gateway_node_3673","gateway_node_2795","gateway_node_1672","gateway_node_3738","gateway_node_3740","gateway_node_3916","gateway_node_2031","gateway_node_4335","gateway_node_257","gateway_node_282","gateway_node_3890","gateway_node_5063","gateway_node_1043","gateway_node_2568","gateway_node_1125","gateway_node_1314","gateway_node_4590","gateway_node_456","gateway_node_1571","gateway_node_2769","gateway_node_981"
"gateway_node_4335",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0
"gateway_node_257",0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0
"gateway_node_282",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"gateway_node_3890",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"gateway_node_5063",0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0
"gateway_node_1043",1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1
"gateway_node_2568",1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0
"gateway_node_1125",1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1
"gateway_node_1314",0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1
"gateway_node_4590",1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
"gateway_node_456",1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
"gateway_node_1571",1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0
"gateway_node_2769",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gateway_node_981",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0
