"","gateway_node_2423","gateway_node_3645","gateway_node_2079","gateway_node_4001","gateway_node_4988","gateway_node_1972","gateway_node_3499","gateway_node_4108","gateway_node_3147","gateway_node_3185","gateway_node_5232","gateway_node_3176","gateway_node_3435","gateway_node_3795","gateway_node_4598","gateway_node_3455","gateway_node_4662","gateway_node_563","gateway_node_22","gateway_node_2592","gateway_node_1672","gateway_node_3740","gateway_node_729","gateway_node_2031","gateway_node_4335","gateway_node_257","gateway_node_5040","gateway_node_282","gateway_node_3890","gateway_node_5063","gateway_node_1125","gateway_node_606","gateway_node_1314","gateway_node_4590","gateway_node_4366","gateway_node_1432","gateway_node_456","gateway_node_1571","gateway_node_2769","gateway_node_865","gateway_node_2563","gateway_node_981","gateway_node_3653","gateway_node_241"
"gateway_node_5063",1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0
"gateway_node_1125",1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0
"gateway_node_606",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0
"gateway_node_1314",1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0
"gateway_node_4590",0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0
"gateway_node_4366",0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0
"gateway_node_1432",1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
"gateway_node_456",1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0
"gateway_node_1571",1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0
"gateway_node_2769",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gateway_node_865",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0
"gateway_node_2563",0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0
"gateway_node_981",0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0
"gateway_node_3653",1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0
"gateway_node_241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
