"";"mangal_node_0563";"mangal_node_0090";"mangal_node_3857";"mangal_node_3858";"mangal_node_3859";"mangal_node_3860";"mangal_node_0672";"mangal_node_3861";"mangal_node_3862";"mangal_node_0503";"mangal_node_0589";"mangal_node_3876";"mangal_node_0910";"mangal_node_0911";"mangal_node_3864";"mangal_node_3863";"mangal_node_0973";"mangal_node_0560";"mangal_node_0579";"mangal_node_3865";"mangal_node_0700";"mangal_node_3866";"mangal_node_3867";"mangal_node_0913";"mangal_node_0758";"mangal_node_0427";"mangal_node_3869";"mangal_node_3870";"mangal_node_3871";"mangal_node_0928";"mangal_node_3868";"mangal_node_3872";"mangal_node_0475";"mangal_node_3873";"mangal_node_3874";"mangal_node_3875";"mangal_node_0492";"mangal_node_3877";"mangal_node_0469";"mangal_node_0573";"mangal_node_3878";"mangal_node_3879";"mangal_node_0446";"mangal_node_0666";"mangal_node_0652";"mangal_node_0594"
"mangal_node_0589";0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1
"mangal_node_3876";0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;0;0
"mangal_node_0910";0;1;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0
"mangal_node_0911";0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1
"mangal_node_3864";0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;1
"mangal_node_3863";0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0
"mangal_node_0973";0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0
"mangal_node_0560";1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0
"mangal_node_0579";1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0
"mangal_node_3865";0;0;1;1;1;1;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;0;1;0;1;1;1;0
"mangal_node_0700";0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0
"mangal_node_3866";0;0;0;1;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
"mangal_node_3867";0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;0;0
"mangal_node_0913";0;0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;0
"mangal_node_0758";0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;0
"mangal_node_0427";0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;1
"mangal_node_3869";1;0;1;1;1;0;1;1;0;0;1;0;1;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0
"mangal_node_3870";1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;1;0;1;0;0;1;1
"mangal_node_3871";0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;1
"mangal_node_0928";1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0
"mangal_node_3868";1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0
"mangal_node_3872";1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0475";0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;1;1;1;0;1
"mangal_node_3873";0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1
"mangal_node_3874";0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1;0;0;1;1;0;1;1;1;1;1
"mangal_node_3875";1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;0;0;1
"mangal_node_0492";0;1;1;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;1;1
"mangal_node_3877";0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;0;1;0;0
"mangal_node_0469";0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1
"mangal_node_0573";0;1;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1
"mangal_node_3878";1;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0
"mangal_node_3879";0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"mangal_node_0446";0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1;1;1;1;1
"mangal_node_0666";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;0;1;0;1
"mangal_node_0652";0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1
"mangal_node_0594";1;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
