"";"gateway_node_3201";"gateway_node_2414";"gateway_node_282";"gateway_node_105";"gateway_node_2423";"gateway_node_2718";"gateway_node_1190";"gateway_node_805";"gateway_node_5232";"gateway_node_4062";"gateway_node_1972";"gateway_node_3499";"gateway_node_4108";"gateway_node_777";"gateway_node_3147";"gateway_node_4988";"gateway_node_4574";"gateway_node_5043";"gateway_node_5041";"gateway_node_3176";"gateway_node_113";"gateway_node_3264";"gateway_node_4001";"gateway_node_3435";"gateway_node_3185";"gateway_node_3673";"gateway_node_106";"gateway_node_22";"gateway_node_2592";"gateway_node_3740";"gateway_node_2031";"gateway_node_4335";"gateway_node_3455";"gateway_node_563";"gateway_node_356";"gateway_node_4598";"gateway_node_257";"gateway_node_4662";"gateway_node_729";"gateway_node_3916";"gateway_node_3257";"gateway_node_3267";"gateway_node_3890";"gateway_node_5063";"gateway_node_1104";"gateway_node_1125";"gateway_node_606";"gateway_node_1314";"gateway_node_4399";"gateway_node_4590";"gateway_node_456";"gateway_node_1571";"gateway_node_2769";"gateway_node_870";"gateway_node_2563";"gateway_node_981"
"gateway_node_5041";0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;1;1;0;0;1
"gateway_node_3176";0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"gateway_node_113";1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_3264";1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_4001";0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0
"gateway_node_3435";0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"gateway_node_3185";1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;1;0;1
"gateway_node_3673";0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0
"gateway_node_106";0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_22";0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_2592";0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0
"gateway_node_3740";0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_2031";0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0
"gateway_node_4335";0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0
"gateway_node_3455";1;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0
"gateway_node_563";0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0
"gateway_node_356";0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1
"gateway_node_4598";0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1
"gateway_node_257";0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_4662";0;0;0;0;1;0;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1
"gateway_node_729";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;0;1;1;0;0;0;1;1;0;1
"gateway_node_3916";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;1
"gateway_node_3257";0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;0;1
"gateway_node_3267";0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_3890";1;0;1;0;0;1;1;0;1;0;0;1;0;0;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;1;1;0;1;1
"gateway_node_5063";0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_1104";0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;1
"gateway_node_1125";0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0
"gateway_node_606";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1
"gateway_node_1314";0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0
"gateway_node_4399";1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;1;0;0;0
"gateway_node_4590";1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1
"gateway_node_456";0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0
"gateway_node_1571";0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;1
"gateway_node_2769";1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0
"gateway_node_870";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1
"gateway_node_2563";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0
"gateway_node_981";0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;0;0;1
