"";"gateway_node_5232";"gateway_node_1033";"gateway_node_3817";"gateway_node_1717";"gateway_node_1312";"gateway_node_4777";"gateway_node_2229";"gateway_node_1858";"gateway_node_4694";"gateway_node_1730";"gateway_node_3497";"gateway_node_2449";"gateway_node_249";"gateway_node_1056";"gateway_node_3614";"gateway_node_4779";"gateway_node_2411";"gateway_node_3264";"gateway_node_4001";"gateway_node_2437";"gateway_node_1629";"gateway_node_1972";"gateway_node_281";"gateway_node_3890";"gateway_node_667";"gateway_node_827";"gateway_node_829";"gateway_node_5063";"gateway_node_1424";"gateway_node_2784";"gateway_node_4400";"gateway_node_4592";"gateway_node_1156";"gateway_node_2384";"gateway_node_1240";"gateway_node_3957"
"gateway_node_3614";0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1
"gateway_node_4779";0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_2411";0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;1
"gateway_node_3264";0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1
"gateway_node_4001";0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;0
"gateway_node_2437";0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;1
"gateway_node_1629";1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;0;1;0
"gateway_node_1972";1;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0
"gateway_node_281";0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0
"gateway_node_3890";0;1;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;1
"gateway_node_667";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0
"gateway_node_827";1;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1
"gateway_node_829";0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0
"gateway_node_5063";1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0
"gateway_node_1424";0;1;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1
"gateway_node_2784";0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;1;0
"gateway_node_4400";0;1;1;0;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0
"gateway_node_4592";0;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;1;0
"gateway_node_1156";0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1
"gateway_node_2384";1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;1
"gateway_node_1240";1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0
"gateway_node_3957";0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;1
