"";"gateway_node_2423";"gateway_node_282";"gateway_node_4001";"gateway_node_2718";"gateway_node_3646";"gateway_node_3645";"gateway_node_2079";"gateway_node_4988";"gateway_node_1972";"gateway_node_3147";"gateway_node_3185";"gateway_node_5232";"gateway_node_807";"gateway_node_4574";"gateway_node_3499";"gateway_node_3264";"gateway_node_3435";"gateway_node_5145";"gateway_node_4779";"gateway_node_4598";"gateway_node_3455";"gateway_node_4662";"gateway_node_563";"gateway_node_22";"gateway_node_729";"gateway_node_2904";"gateway_node_3740";"gateway_node_2031";"gateway_node_4335";"gateway_node_257";"gateway_node_5040";"gateway_node_3379";"gateway_node_3890";"gateway_node_5063";"gateway_node_1125";"gateway_node_606";"gateway_node_4590";"gateway_node_1432";"gateway_node_456";"gateway_node_1427";"gateway_node_321";"gateway_node_1571"
"gateway_node_3435";0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
"gateway_node_5145";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_4779";1;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;0
"gateway_node_4598";1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
"gateway_node_3455";0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0
"gateway_node_4662";0;0;1;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_563";0;0;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;1;1
"gateway_node_22";1;0;0;0;1;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0
"gateway_node_729";0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0
"gateway_node_2904";1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"gateway_node_3740";0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1
"gateway_node_2031";0;1;0;1;1;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0
"gateway_node_4335";0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_257";0;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1
"gateway_node_5040";1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;1
"gateway_node_3379";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1
"gateway_node_3890";0;0;0;1;0;0;1;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_5063";1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;1
"gateway_node_1125";0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;0;0
"gateway_node_606";0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0
"gateway_node_4590";1;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"gateway_node_1432";0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0
"gateway_node_456";0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0
"gateway_node_1427";0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1
"gateway_node_321";1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;0
"gateway_node_1571";1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1
