"";"mangal_node_0255";"mangal_node_0259";"mangal_node_0090";"mangal_node_0294";"mangal_node_0264";"mangal_node_0329";"mangal_node_0232";"mangal_node_0296";"mangal_node_0234";"mangal_node_0235";"mangal_node_0236";"mangal_node_0237";"mangal_node_0297";"mangal_node_0267";"mangal_node_0330";"mangal_node_0269";"mangal_node_0239";"mangal_node_0307";"mangal_node_0298";"mangal_node_0331";"mangal_node_0260";"mangal_node_0261";"mangal_node_0263";"mangal_node_0332";"mangal_node_0333";"mangal_node_0244";"mangal_node_0249";"mangal_node_0250";"mangal_node_0242";"mangal_node_0243";"mangal_node_0245";"mangal_node_0278";"mangal_node_0280";"mangal_node_0281";"mangal_node_0283";"mangal_node_0285";"mangal_node_0336";"mangal_node_0334";"mangal_node_0335";"mangal_node_0304"
"mangal_node_0237";1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0297";0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_0267";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"mangal_node_0330";0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
"mangal_node_0269";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0
"mangal_node_0239";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0307";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"mangal_node_0298";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"mangal_node_0331";0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"mangal_node_0260";0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0
"mangal_node_0261";0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"mangal_node_0263";0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"mangal_node_0332";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0333";0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"mangal_node_0244";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
"mangal_node_0249";0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;0
"mangal_node_0250";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"mangal_node_0242";0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0
"mangal_node_0243";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
"mangal_node_0245";0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1
"mangal_node_0278";0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"mangal_node_0280";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
"mangal_node_0281";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"mangal_node_0283";0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0
"mangal_node_0285";0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0
"mangal_node_0336";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0
"mangal_node_0334";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;1;1
"mangal_node_0335";0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"mangal_node_0304";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1
